player_name,position,height_inches,weight_lbs,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Bradley George,Guard,74.0,190.0,Denver,2017,1,30.0,9.6,2.4,0.8,0.8,0.2,0.1,1.0,51.9,50.0,64.3,61.5,8.1,0.2
Brian George,Center,,,,2000,2,,,,,,0.0,0.0,,,,,,,
Chris George,Forward,78.0,198.0,Southern Illinois,1985,2,54.0,16.4,4.0,2.5,1.1,0.3,0.4,1.5,43.0,,60.0,,,
Conner George,Guard,75.0,185.0,Michigan State,2017,1,10.0,1.2,0.6,0.3,0.1,0.0,0.0,0.3,50.0,0.0,66.7,50.0,10.6,0.0
Daniel George,School: Lafayette,,,,1961,1,18.0,,5.9,2.5,,,,,37.4,,46.7,,,
Danny George,Guard,70.0,178.0,Lafayette,1962,2,42.0,,6.3,2.8,,,,,38.0,,64.5,,,
Darrell George,Forward,77.0,196.0,Pacific,1993,2,39.0,4.8,2.5,1.9,0.3,0.1,0.1,0.5,53.5,,74.2,53.5,,
Dave George,Forward,76.0,193.0,Saint Louis,1969,2,19.0,,1.2,1.2,,,,,34.6,,33.3,,,
Deon George,Forward,77.0,196.0,Saint Francis (PA),1994,2,55.0,,17.2,6.3,1.4,1.6,0.6,,46.9,41.8,72.1,52.2,,
Deon George,Forward,78.0,198.0,Saint Francis (PA),1992,2,56.0,14.9,6.1,2.9,0.6,0.5,0.4,1.2,49.6,,67.3,49.6,,
Douglas George,Forward,78.0,198.0,Alabama State,1985,3,87.0,,4.2,3.6,,,,,52.2,,64.4,,,
Drew George,Forward,78.0,198.0,Centenary (LA),2004,1,5.0,,0.8,0.8,0.0,0.0,0.0,,50.0,,,50.0,,0.0
Grayson George,Guard,74.0,180.0,Oklahoma State,2012,1,6.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,,,,,21.0,0.0
Jack George,Forward,82.0,210.0,Elon,2017,2,7.0,1.6,0.0,0.6,0.0,0.0,0.0,0.1,0.0,,,0.0,-6.3,0.0
Jack George,School: La Salle,,,,1951,1,,,,,,,,,,,,,,
Jack George,School: South Carolina,,,,1974,1,1.0,0.0,,2.0,,,0.0,,,,,,,
