player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Tyrone Ladson,Guard,73.0,185,,Texas A&M,1981,3,71.0,4.9,1.4,2.2,40.3,,63.2,,,
Tyrone Ladson,Guard,74.0,188,,Kansas State,1977,1,26.0,2.8,0.6,1.3,28.6,,80.6,,,
Willie Ladson,Center,73.0,208,,Duquesne,1992,2,56.0,3.2,2.6,0.3,49.0,,69.0,49.0,,
Joe Laduca,,,,,Canisius,1963,1,1.0,2.0,1.0,,,,50.0,,,
Christian Laettner,Center,73.0,235,,Duke,1990,2,148.0,16.6,7.8,1.8,57.4,48.5,80.6,60.2,,
Bryan Lafave,Forward,79.0,201,,Milwaukee,1999,1,25.0,1.4,1.8,0.3,63.6,,75.0,63.6,,0.5
Mike LaFave,Forward,81.0,206,,Ball State,1984,1,23.0,4.6,3.4,1.3,34.1,,63.6,,,
Mike LaFave,,,,,Indiana,1982,2,,,,,,,,,,
Barr Lafayette,Forward,,,,Arizona State,1957,1,1.0,,1.0,,,,,,,
Lee Lafayette,Center,78.0,198,,Michigan State,1969,3,70.0,16.8,10.2,,42.8,,63.7,,,
Oliver Lafayette,Guard,74.0,188,,Houston,2007,2,64.0,15.0,5.1,2.5,35.9,32.2,72.5,45.1,,6.5
Bill LaFevor,Center,,,,Vanderbilt,1968,1,7.0,0.9,1.4,,40.0,,28.6,,,
Bob Lafferty,Center,79.0,201,,Houston Baptist,1980,2,34.0,0.7,0.9,,31.0,,35.7,,,
George Lafferty,,,,,Missouri,1951,3,63.0,5.3,,,28.2,,56.6,,,
Dan Laffey,,,,,DePaul,1963,3,,,,,,,,,,
Demetrius Laffitte,,,,,U.S. International,1990,1,28.0,18.8,10.3,1.9,59.4,20.0,66.7,59.5,,
Laffitte Laffitte,,,,,U.S. International,1989,1,27.0,18.5,10.4,1.8,55.4,33.3,77.0,55.8,,
Demetrius LaFitte,Guard,75.0,190,,Long Beach State,1986,1,14.0,3.0,2.6,0.2,40.5,,72.7,,,
Andre LaFleur,Guard,75.0,190,,Northeastern,1987,4,128.0,8.9,2.4,7.0,50.5,,77.3,,,
Joel LaFleur,Guard,,,,Air Force,1993,1,14.0,1.0,0.6,0.4,15.8,7.7,70.0,18.4,,
Jason Lafollette,Forward,76.0,193,,Morehead State,2004,2,4.0,0.0,1.0,0.0,0.0,,,0.0,,0.0
Colin LaForme,Forward,73.0,208,,Youngstown State,2007,3,54.0,2.5,2.2,0.4,48.6,0.0,46.1,48.6,,0.7
Stuart LaFramboise,Forward,76.0,193,,Northeastern,1970,1,14.0,1.9,0.9,,31.3,,85.7,,,
Raef LaFrentz,Forward,73.0,240,,Kansas,1996,2,131.0,15.8,9.1,0.7,55.5,37.1,71.2,56.0,,
Garen Lafser,Guard,73.0,185,,Liberty,2011,2,18.0,0.7,0.3,0.1,30.8,0.0,100.0,30.8,,0.0
Lloyd LaGarde,,,,,Southern,1987,1,10.0,3.2,0.6,0.2,34.4,32.0,50.0,46.9,,
Lloyd Lagarde,Guard,76.0,193,,Southern,1986,1,9.0,0.8,1.0,,14.3,,75.0,,,
Tom LaGarde,Center,73.0,220,,UNC,1977,4,102.0,9.9,5.3,0.8,58.3,,76.3,,,
Jack Lage,,,,,Seton Hall,1953,1,12.0,1.4,0.5,,44.4,,25.0,,,
Luiz Lage,Forward,78.0,198,,Portland,1979,1,19.0,2.3,1.7,0.3,54.8,,52.6,,,
Marcos Lagemann,Center,79.0,201,,Texas-Rio Grande Valley,1997,1,4.0,7.0,3.8,0.5,37.5,0.0,55.6,37.5,,0.0
Stuart Lagerson,Center,84.0,220,Judson,Texas-Arlington,2014,3,67.0,1.0,1.6,0.1,45.0,0.0,50.0,45.0,6.9,0.8
Willie Lago,Guard,73.0,185,,Louisiana-Lafayette,2010,4,114.0,2.4,0.9,1.2,31.6,23.8,53.8,37.2,,-0.1
Tom Lagodich,Forward,79.0,201,,Kent State,1970,3,70.0,14.5,7.0,,48.2,,71.4,,,
Ray LaGrace,Forward,77.0,196,,Boston College,1969,2,49.0,4.3,2.1,0.7,47.6,,69.2,,,
Matt LaGrone,Forward,80.0,203,,Nevada,2008,2,59.0,1.5,2.6,0.4,65.5,,50.0,65.5,,1.3
Brian LaGrua,Guard,74.0,188,,St. Francis (NY),1985,3,66.0,3.6,1.4,1.1,39.5,,75.0,,,
Lenny LaGrua,Guard,73.0,185,,St. Francis (NY),1985,2,56.0,8.5,2.3,2.4,44.7,,65.7,,,
