player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Ben Neville,Guard,,,,Rutgers,1998,2,9.0,0.6,0.3,0.4,0.0,0.0,83.3,0.0,,-0.1
George Neville,Guard,73.0,185,,Harvard,1965,1,4.0,1.8,,,33.3,,33.3,,,
Mike Neville,Forward,80.0,203,,Catholic,1980,2,53.0,13.2,5.6,,45.5,,80.0,,,
Tyler Neville,Guard,75.0,190,,Boston College,2007,4,30.0,0.5,0.3,0.2,31.6,0.0,36.4,31.6,,-0.1
_ Neville,,,,,Harvard,1966,1,24.0,8.2,2.8,,46.6,,66.7,,,
Larry Nevils,Forward,79.0,201,,Houston,1974,1,7.0,1.0,0.6,,25.0,,50.0,,,
Joey Nevin,Guard,74.0,188,,San Diego,2003,2,14.0,0.5,0.4,0.3,21.4,9.1,0.0,25.0,,-0.2
Phil Nevin,Center,73.0,211,,Maryland,1987,1,13.0,0.3,1.3,0.1,50.0,,22.2,50.0,,
Gary Nevinger,Forward,77.0,196,,Georgia,1972,1,10.0,0.5,0.6,0.1,50.0,,50.0,,,
Chuck Nevitt,Center,89.0,217,,North Carolina State,1982,4,90.0,3.0,2.4,0.2,58.0,,45.7,,,
Dave New,,,,,Georgia Tech,1981,1,16.0,0.8,0.6,0.2,23.1,,75.0,,,
Michael New,Center,80.0,203,,New Mexico State,1991,2,60.0,10.4,6.8,0.7,48.5,,62.8,51.1,,
Michael New,Forward,80.0,203,,Houston,1988,1,9.0,0.2,0.7,0.1,25.0,,,,,
Marcus Newbern,Guard,74.0,188,,Bowling Green State,1982,4,109.0,13.8,3.8,1.5,49.4,,75.5,,,
Melvin Newbern,Guard,76.0,200,,Minnesota,1990,3,91.0,13.5,3.5,4.1,47.8,34.2,72.1,49.8,,
Booker Newberry,Forward,78.0,198,,Saint Mary's (CA),1992,1,22.0,5.2,2.6,0.4,65.0,,57.9,65.0,,
Charles Newberry,Guard,75.0,190,,Saint Louis,1990,3,96.0,8.6,2.2,4.4,47.0,44.2,79.7,50.4,,
Jeff Newberry,Guard,74.0,190,Westlake,Oklahoma State,2016,2,64.0,8.8,3.5,1.5,39.5,33.0,81.8,46.0,16.4,5.2
Jimmy Newberry,Guard,74.0,188,,Southeastern Louisiana,1995,1,3.0,3.7,1.0,1.0,66.7,50.0,100.0,75.0,,
Broderick Newbill,Guard,77.0,195,Hogan Preparatory Academy,Fresno State and UMKC,2017,4,90.0,5.9,2.5,0.4,49.0,31.3,65.5,52.2,15.1,3.1
D.J. Newbill,Guard,76.0,210,Strawberry Mansion,Southern Miss and Penn State,2015,4,131.0,16.1,5.2,2.6,44.8,33.7,72.4,49.0,19.5,14.3
Ivano Newbill,Center,81.0,245,,Georgia Tech,1994,4,123.0,3.9,5.3,1.0,50.7,0.0,46.6,50.7,,
Ira Newble,Center,79.0,220,,Miami (OH),1997,2,58.0,8.9,6.4,0.8,54.8,23.5,64.3,55.3,,6.7
Bill Newbold,Guard,,,,ETSU,1965,3,65.0,4.5,2.0,,34.7,,70.1,,,
Larry Newbold,Guard,74.0,188,,LIU-Brooklyn,1968,2,50.0,18.2,4.8,,50.0,,67.4,,,
Mike Newbold,Guard,74.0,188,,Saint Louis,1978,3,55.0,4.1,1.2,,43.2,,64.7,,,
Tyler Newbold,Guard,77.0,210,,Utah State,2011,4,139.0,7.3,3.8,2.6,44.8,40.7,80.2,57.8,,14.2
Vas'Shun Newborne,Forward,78.0,198,,Saint Louis,2006,2,59.0,3.3,2.5,0.6,38.8,17.0,55.8,40.7,,0.8
Doug Newburg,Guard,74.0,188,,Virginia,1983,3,67.0,1.1,0.6,0.5,31.8,,53.6,,,
Mark Newburg,Center,73.0,208,,Wisconsin,1979,4,,,,,,,,,,
Jade Newburn,Center,80.0,203,,Brown,1997,4,70.0,1.9,1.9,0.2,42.3,,77.4,42.3,,
Brandon Newby,Guard,74.0,188,,Coastal Carolina,2004,4,92.0,10.9,3.1,1.7,42.4,31.9,69.4,49.6,,4.6
Gerry Newby,Guard,76.0,193,,Cornell,1973,2,32.0,14.8,5.3,,38.8,,73.7,,,
Jabs Newby,Guard,74.0,183,,Eastern Kentucky,2012,2,52.0,1.9,1.3,1.4,32.2,17.4,57.1,33.9,7.5,0.4
Martavious Newby,Guard,75.0,210,Booker T. Washington HS,Ole Miss,2016,4,114.0,3.5,4.0,1.4,38.5,25.0,71.4,43.1,13.4,5.3
Maurice Newby,Guard,76.0,193,,Northern Iowa,1991,4,118.0,9.7,2.0,1.4,43.9,37.3,85.6,51.4,,
Terrence Newby,Guard,74.0,207,,UNC,2000,4,86.0,1.1,0.5,0.7,34.0,37.8,43.5,43.1,,
Chuck Newcomb,Forward,76.0,193,,Colorado State,1960,3,70.0,15.6,7.3,,41.7,,71.0,,,
Jim Newcome,,,,,Duke,1958,3,75.0,11.0,8.0,,38.9,,60.9,,,
Ken Newcome,,,,,Indiana,1968,1,,,,,,,,,,
Steve Newcome,Guard,75.0,190,,Samford,1974,1,13.0,1.1,0.8,,36.4,,100.0,,,
Jim Newcomer,Center,73.0,211,,Penn State,1987,3,78.0,4.1,2.5,0.8,49.6,,62.6,,,
_ Newdome,,,,,Case Western Reserve,1948,1,,,,,,,,,,
Alexander Newell,Guard,75.0,190,,Alabama State,1985,3,73.0,6.3,2.3,,45.2,,69.3,,,
Anthony Newell,Forward,77.0,196,,Ball State,2009,4,86.0,11.6,6.8,0.9,39.6,30.1,64.6,42.6,,4.7
Bill Newell,Guard,,,,Ohio State,1948,1,,,,,,,,,,
Bobby Newell,Guard,75.0,190,,Eastern Kentucky,1972,1,14.0,1.7,0.8,0.2,30.0,,54.5,,,
Calvin Newell ,Guard,73.0,210,Strath Haven,Oklahoma and UCF,2014,4,91.0,8.3,1.8,2.2,40.0,29.7,64.5,47.0,13.0,3.4
Casey Newell,,,,,Notre Dame,1985,2,,,,,,,,,,
