player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
_ Kaiser,,,,,Baylor,1980,1,3.0,0.7,0.3,0.3,50.0,,,,,
Alex Kaklamanos,Guard,77.0,196,,Georgia Southern,2005,1,9.0,1.8,0.8,0.3,22.2,25.0,62.5,30.6,,0.0
Mike Kakuska,,,,,Marquette,1959,1,,,,,,,,,,
Nguye Kaladokubo,Center,81.0,206,,Portland State,2005,2,38.0,1.7,1.3,0.0,59.5,,60.0,59.5,,0.7
Edward Kalafat,,,,,Minnesota,1954,3,66.0,14.5,7.8,,36.7,,63.1,,,
Ilija Kalajdzic,Forward,79.0,201,,Jacksonville State,2006,1,1.0,0.0,0.0,1.0,,,,,,0.0
Jeff Kalapos,Guard,77.0,196,,Rhode Island,2005,4,24.0,0.2,0.2,0.0,40.0,50.0,50.0,50.0,,0.1
Leonard Kalata,Forward,75.0,190,,Pitt,1969,3,50.0,8.7,3.7,,40.4,,67.3,,,
D. Kalb,Guard,72.0,183,,Akron,2001,1,16.0,0.3,0.4,0.5,33.3,,42.9,33.3,,0.0
Dylan Kalbacher,Forward,,,,Holy Cross,1999,2,37.0,1.6,1.6,0.4,46.3,,44.4,46.3,,0.2
Bill Kalbaugh,Guard,61.0,180,,St. Bonaventure,1970,3,77.0,8.5,2.3,,45.7,,75.0,,,
Dan Kalbaugh,Guard,61.0,180,,High Point,2001,1,15.0,1.0,0.7,0.7,21.4,28.6,70.0,28.6,,0.1
Harry Kalbaugh,Guard,61.0,178,,Kent State,1961,2,37.0,1.5,1.8,,25.0,,46.9,,,
Jack Kalbfus,,,,,Duke,1956,2,38.0,7.7,3.1,,43.1,,54.0,,,
Cody Kale,Guard,75.0,190,,Cal State Bakersfield,2011,1,13.0,1.4,0.8,0.3,54.5,75.0,50.0,68.2,8.4,0.1
Jonathan Kale,Forward,80.0,203,,Providence,2009,4,113.0,6.5,4.1,0.4,53.6,0.0,63.6,53.6,,5.7
Mike Kale,Forward,80.0,203,,Idaho,2008,3,88.0,4.1,3.2,0.3,46.9,,53.4,46.9,,1.5
Marko Kalemkeris,Forward,78.0,198,,San Diego,2002,1,5.0,0.8,0.0,0.2,50.0,100.0,25.0,75.0,,0.0
Ints Kaleps,Forward,77.0,196,,Brown,1962,1,3.0,0.7,0.7,,50.0,,,,,
Bill Kaliden,,,,,Pitt,1957,1,3.0,0.3,1.0,,,,50.0,,,
Samir Kalil,Guard,72.0,180,Archbishop Stepinec,Quinnipiac,2015,3,16.0,0.0,0.1,0.0,0.0,0.0,,0.0,-5.3,0.0
Rich Kalina,Center,84.0,252,North Cobb Christian,Chattanooga,2016,1,4.0,1.0,1.8,0.0,50.0,,0.0,50.0,14.9,0.0
Tyler Kalinoski,Guard,76.0,180,Olathe East,Davidson,2013,2,132.0,9.9,3.9,2.5,43.9,39.0,76.0,55.7,18.5,14.6
