player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Obrad Ignjatovic,Center,73.0,208,,South Carolina,1990,1,17.0,,2.1,1.5,0.3,0.3,0.5,,50.0,60.0,50.0,55.8,,
Shaun Igo,Center,73.0,208,,Rice,1997,4,94.0,,12.3,6.3,0.6,0.5,0.8,,50.9,0.0,71.2,50.9,,
Byron Igoe,,,,,Manhattan,1949,1,,,,,,,,,,,,,,
Andre Iguodala,Forward,78.0,207,,Arizona,2004,2,62.0,25.4,9.6,6.6,3.4,1.5,0.5,,42.4,27.4,73.8,45.8,,5.4
Frank Iguodala,Forward,77.0,196,,Dayton,2004,2,55.0,,1.5,1.9,0.4,0.2,0.3,,50.8,,53.3,50.8,,1.3
Josh Ihde,Forward,80.0,203,,SMU,1999,2,29.0,,1.4,1.2,0.1,0.1,0.0,,42.9,44.4,57.1,48.6,,0.4
Ugo Ihekweazu,Forward,77.0,196,,Wofford and Cornell,2007,3,61.0,,2.2,2.1,0.4,0.4,0.2,,52.3,,43.6,52.3,,1.1
Richard Ijeh,Guard,73.0,185,,Central Connecticut,1999,2,52.0,,3.8,1.4,1.2,0.5,0.0,,36.9,31.3,67.3,45.3,,0.7
Todd Ikard,Forward,,,,Oklahoma State,1960,3,18.0,,,,,,,,,,,,,
Anthony Ike,Forward,77.0,196,,Texas Southern,2008,1,32.0,,7.4,4.7,0.7,0.5,0.1,1.4,40.0,47.5,62.7,45.1,,0.9
Earl Ike,Center,80.0,203,,Alabama-Birmingham,1997,1,5.0,,0.8,0.8,0.0,0.2,0.0,,25.0,,100.0,25.0,,0.0
Jibrahn Ike,Guard,74.0,188,,Arkansas-Little Rock,2003,2,59.0,,12.1,3.2,1.4,1.3,0.1,,44.3,37.6,84.5,51.2,,5.1
Larry Ike,,,,,Michigan State,1971,1,6.0,,0.7,0.5,,,,,50.0,,,,,
Andy Ikeakor,Center,80.0,203,,Tennessee and Houston,2004,4,29.0,,1.9,2.4,0.4,0.6,0.2,,31.3,,48.0,31.3,,-0.1
Obi Ikeakor,Forward,80.0,203,,Saint Louis and New Orleans,2010,3,35.0,4.0,2.5,1.4,0.1,0.2,0.1,0.8,50.0,40.0,69.2,51.5,,0.7
Chy Chy Ikenokwalu,Forward,,,,St. Joseph's,1999,2,36.0,,0.8,1.1,0.1,0.1,0.2,,57.1,,46.2,57.1,,0.5
Larry Ikerd,Guard,75.0,190,,Butler,1984,3,60.0,14.8,3.1,1.5,,0.5,0.1,1.1,39.7,,70.5,,,
Emeka Ikezu,Forward,81.0,230,Hargrave Military Academy,Samford,2015,2,29.0,4.0,0.6,0.8,0.0,0.1,0.1,0.3,58.3,,30.0,58.3,1.2,0.0
Joe Ikhinmwin,Forward,78.0,220,,South Carolina State,2012,2,59.0,18.3,5.9,3.1,0.5,0.3,0.3,1.4,48.5,50.0,62.1,49.0,11.0,1.0
Clement Ikomi,Center,73.0,208,,Chicago State,1990,1,26.0,,5.8,4.5,0.3,0.3,1.2,,46.4,,82.5,46.4,,
Adida Ikongshul,Forward,78.0,185,Shawe Memorial High School,Western Michigan,2017,1,21.0,6.2,0.2,1.5,0.1,0.1,0.0,0.3,7.7,,40.0,7.7,-0.5,-0.1
Denis Ikovlev,Forward,79.0,201,,Nevada,2007,2,57.0,,4.8,2.7,0.7,0.2,0.4,,48.5,43.3,76.5,62.4,,3.5
Guy Ikpah,Guard,72.0,183,,Oklahoma State,2004,2,7.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,-0.2
Amadi Ikpeze,Forward,73.0,250,Amherst High School,St. Bonaventure,2017,1,24.0,9.2,2.2,1.9,0.0,0.3,0.5,0.5,45.8,,90.9,45.8,8.4,0.4
Christopher Ikuenobe,Forward,81.0,240,,Texas-Rio Grande Valley,2016,1,27.0,7.7,2.1,1.1,0.3,0.1,0.3,0.4,52.3,,54.5,52.3,10.8,0.2
Jack Ilcisin,Guard,75.0,190,,Creighton,1969,3,63.0,,6.4,2.8,,,,,39.6,,53.1,,,
Chris Iles,Guard,61.0,180,,Nicholls State,2010,2,61.0,28.2,5.9,1.5,2.7,0.7,0.0,1.8,35.2,35.8,79.6,43.8,,1.5
