player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Michael Zangari,Forward,81.0,230,Red Land HS,East Carolina,2016,4,123.0,16.6,4.7,3.4,0.4,0.2,0.3,0.8,45.4,21.1,67.5,47.0,12.0,4.0
George Zaninovich,Guard,75.0,190,,Penn,1995,1,17.0,,1.8,0.6,0.4,0.1,0.0,,35.5,31.6,50.0,45.2,,
George Zaninovich,Guard,74.0,188,,Stanford,1953,3,56.0,,4.6,3.4,,,,,33.7,,57.0,,,
Nura Zanna,Forward,79.0,240,Coral Springs Christian,LIU-Brooklyn,2017,3,93.0,23.4,8.1,6.9,0.4,0.6,0.4,2.3,54.2,0.0,50.7,54.2,14.1,4.3
Talib Zanna,Forward,81.0,230,Bishop McNamara (MD),Pitt,2013,4,135.0,21.7,8.3,6.0,0.4,0.5,0.5,1.0,55.3,0.0,65.0,55.3,21.7,13.5
Rudy Zannini,Guard,67.0,170,,San Francisco,1955,3,57.0,,,0.4,,,,,,,,,,
Craig Zanon,Guard,78.0,198,,Montana,1981,4,97.0,,11.0,3.1,,0.9,0.1,,53.2,,79.8,,,
Rick Zanon,Guard,72.0,183,,Montana,1979,2,38.0,,2.1,0.7,,0.3,,,43.8,,57.8,,,
Scott Zanon,Guard,72.0,183,,Montana,1987,4,103.0,,10.5,1.7,4.0,1.4,0.1,,45.3,,80.1,,,
Pete van Zant,,,,,Oklahoma State,1964,1,,,,,,,,,,,,,,
John Zanzalari,Center,78.0,198,,Fordham,1970,3,67.0,,7.3,4.7,,,,,49.1,,62.2,,,
Tony Zanze,Forward,79.0,201,,Dartmouth,1982,2,28.0,,2.6,2.1,0.3,,,,34.3,,70.6,,,
Tommy Zapata,Guard,75.0,190,,Nevada,2000,4,105.0,,4.0,1.7,1.5,0.7,0.1,,34.7,30.8,74.2,42.5,,1.7
Ron Zappia,Forward,80.0,203,,Bowling Green State,1986,1,4.0,,1.5,1.2,0.5,,,1.0,33.3,,50.0,,,
Zack Zaragoza,Guard,76.0,193,,Northern Arizona,2009,1,7.0,,2.0,1.0,0.7,0.3,0.0,0.3,27.8,26.7,,38.9,,-0.1
Joe Zaranka,Guard,75.0,190,,Rhode Island,1969,3,75.0,,5.6,2.9,,,,,38.6,,68.3,,,
Stan Zardozny,Center,79.0,201,,Drexel,1972,1,24.0,,8.0,,,,,,43.4,,56.0,,,
Andrew Zarechnak,Forward,76.0,193,,Virginia Tech,1993,1,2.0,,0.0,1.0,0.5,0.0,0.0,,,,,,,
Nemanja Zarkovic,Guard,75.0,185,College Jean-De-Brebeuf,Fordham,2017,3,69.0,16.6,3.1,1.2,1.2,0.5,0.0,0.8,33.5,31.5,60.6,44.0,6.1,1.3
Bob Zarr,,,,,New Mexico,1965,2,33.0,,4.0,2.5,,,,,40.3,,50.8,,,
Max Zaslofsky,,,,,St. John's (NY),1946,1,18.0,,7.8,,,,,,,,57.9,,,
Eric Zastoupil,Forward,79.0,201,,Army,2010,4,59.0,16.3,2.5,1.7,0.3,0.2,0.1,0.7,44.2,7.7,76.5,44.6,,1.4
Ed Zastrow,Guard,,,,Southern Illinois,1967,1,25.0,,5.2,1.3,,,,,38.1,,64.9,,,
Nate Zastrow,Guard,72.0,175,Manitowoc Lincoln,North Dakota State,2013,4,106.0,12.1,3.5,1.1,1.4,0.2,0.0,1.0,29.9,35.1,82.3,40.8,10.4,2.2
Butch Zatezalo,Guard,61.0,180,,Clemson,1970,3,75.0,,23.5,2.8,,,,,41.0,,82.1,,,
Rudy Zatezalo,Guard,74.0,188,,West Virginia,1963,1,2.0,,1.0,,,,,,33.3,,,,,
Jeff Zatkoff,Forward,81.0,206,,Eastern Michigan,1982,3,81.0,,16.1,7.1,0.8,0.9,,,50.4,,73.0,,,
John Zatorski,,,,,Canisius,1955,1,25.0,,2.4,3.2,,,,,36.5,,51.9,,,
Ed Zausch,Center,80.0,203,,Evansville,1964,1,29.0,,7.6,9.6,,,,,39.3,,54.4,,,
Ed Zausch,,,,,Murray State,1987,1,1.0,,,1.0,,,,,,,,,,
