player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
_ Thurgood,,,,,Utah,1963,1,,,,,,,,,,,,,,
Marc Thurig,Center,73.0,208,,Weber State,2002,4,89.0,,1.3,1.8,0.1,0.1,0.1,,44.9,,47.8,44.9,,0.9
Burdette Thurlby,Guard,74.0,188,,Illinois,1950,3,,,,,,,,,,,,,,
Bob Thurman,Center,,,,Wichita State,1971,2,40.0,,3.0,3.1,0.5,,,,41.9,,60.0,,,
Darryl Thurman,Guard,66.0,168,,Texas Southern,1982,4,72.0,,4.0,1.1,2.0,0.6,0.1,,43.7,,75.9,,,
Dick Thurman,Forward,,,,Houston,1962,2,,,,,,,,,,,,,,
Dion Thurman,Forward,77.0,196,,Bradley,1989,1,26.0,35.6,18.1,7.0,1.8,1.3,0.6,2.8,51.0,28.6,69.1,51.9,,
Ed Thurman,Guard,72.0,183,,Wake Forest,1979,2,43.0,,1.9,0.5,0.7,0.2,0.1,,35.1,,62.8,,,
Eddie Thurman,Guard,73.0,185,,Holy Cross,1982,2,57.0,,10.6,3.3,5.0,1.4,0.2,,45.8,,74.3,,,
Gavin Thurman,Forward,79.0,222,Heights,Missouri State,2015,3,86.0,17.5,6.2,2.4,0.6,0.2,0.2,1.0,35.4,30.3,76.4,41.1,9.9,0.5
Greg Thurman,Center,79.0,201,,North Carolina-Asheville,1988,1,17.0,,1.9,1.3,0.1,0.1,0.0,,52.2,,66.7,52.2,,
Greg Thurman,,,,,Akron,1988,1,,,,,,,,,,,,,,
Jason Thurman,Center,73.0,208,,Chicago State,2003,1,10.0,,0.0,0.8,0.1,0.0,0.1,,0.0,,0.0,0.0,,-0.1
Robert Thurman,Forward,73.0,265,Desert,University of California,2013,3,73.0,12.6,3.8,2.5,0.2,0.2,0.2,0.6,60.2,,42.9,60.2,15.1,2.7
Scottie Thurman,Forward,77.0,196,,Central Michigan,1991,2,23.0,,1.4,0.9,0.7,0.3,0.2,,31.4,,56.3,32.9,,
Scotty Thurman,Forward,78.0,198,,Arkansas,1994,2,102.0,6.0,16.2,4.3,2.5,0.2,,1.9,46.4,43.2,77.0,56.5,,
Tre'Shawn Thurman,Forward,79.0,220,Omaha Central,Nebraska-Omaha,2017,3,93.0,27.8,12.5,6.7,1.2,0.7,1.0,1.7,50.3,27.4,65.4,52.5,18.7,7.4
Tyrone Thurman,Guard,63.0,160,,Texas Tech,1989,1,18.0,,0.8,0.8,1.9,0.6,,,22.2,16.7,81.8,27.8,,
_ Thurman,,,,,Houston,1960,1,,,,,,,,,,,,,,
Marion Thurmond,Center,80.0,203,,San Jose State,2002,2,60.0,,8.8,5.8,0.7,0.7,0.7,,48.5,,70.3,48.5,,4.3
Nate Thurmond,,,,,Bowling Green State,1963,3,76.0,,17.8,16.6,,,,,43.1,,63.3,,,
Shelby Thurmond,Center,81.0,206,,Western Illinois,1995,2,55.0,,9.7,4.8,0.7,0.5,2.7,,54.4,,45.3,54.4,,
Zach Thurow,Center,81.0,206,,Cal Poly,2008,4,54.0,,1.1,1.6,0.1,0.1,0.3,0.4,30.8,0.0,43.6,30.8,,-0.4
