player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Rapheal Davis,Guard,77.0,217,La Lumiere HS,Purdue,2016,4,131.0,24.6,7.7,4.0,1.8,0.6,0.3,1.3,43.5,32.0,72.6,48.0,14.2,9.7
Rashad Davis,Forward,79.0,201,,Morris Brown,2002,1,28.0,,5.6,4.7,0.9,0.8,0.5,,39.3,38.5,62.7,41.0,,-0.4
Rashun Davis,Guard,61.0,185,Davidson Day HS,Radford,2016,4,130.0,24.9,10.0,2.5,3.5,1.3,0.0,2.5,41.5,28.6,74.8,45.6,15.9,7.5
Ray Davis,Guard,75.0,190,,Middle Tennessee,1993,1,25.0,,8.4,3.0,2.6,0.6,0.0,,43.4,43.0,69.8,54.5,,
Raymond Davis,Forward,76.0,193,,UT-Martin,2003,1,5.0,,2.8,1.4,0.6,0.2,0.0,,53.8,,,53.8,,0.1
Raymond Davis,Guard,76.0,193,,Winthrop,2010,2,35.0,3.6,3.0,1.8,0.8,0.4,0.1,1.0,35.1,24.6,44.4,42.1,,0.3
Raynard Davis,Forward,79.0,201,,Texas,1987,4,106.0,,7.7,3.4,0.5,0.4,0.1,,44.7,,74.9,,,
Reed Davis,Guard,73.0,185,,Alabama-Birmingham,2006,4,23.0,,0.3,0.1,0.0,0.0,0.0,,10.0,0.0,54.5,10.0,,-0.1
Rene Davis,Guard,77.0,196,,Grambling,1989,4,109.0,,7.3,4.3,1.3,0.8,0.1,,48.5,,74.5,,,
Rex Davis,,,,,Virginia,1960,2,10.0,,0.9,1.6,,,,,20.0,,,,,
Rex Davis,Guard,72.0,183,,Oregon,1954,1,2.0,,,,,,,,,,,,,
Rhonte Davis,Forward,79.0,201,,New Mexico State,1999,3,88.0,,2.7,2.2,0.4,0.2,0.1,,51.4,,50.9,51.4,,2.0
Rich Davis,Guard,72.0,183,,San Diego,1983,2,50.0,,10.2,1.3,2.5,1.2,,,46.1,,76.7,,,
Rich Davis,Center,73.0,208,,Oregon,1979,2,45.0,,2.3,2.2,0.2,0.2,0.3,,41.0,,67.9,,,
Rick Davis,Guard,74.0,188,,Florida A&M,1995,3,54.0,,11.4,3.8,1.1,0.9,0.0,,49.4,29.4,67.1,53.1,,
Rick Davis,Center,78.0,198,,Brooklyn,1983,1,28.0,,8.8,7.0,,,,,54.1,,61.5,,,
Ricky Davis,Forward,78.0,195,,Iowa,1998,1,31.0,,15.0,4.8,2.4,1.2,0.3,,46.6,30.8,69.8,50.4,,3.3
Ricky Davis,Forward,77.0,196,,Texas-Arlington,1981,1,7.0,,3.3,1.3,0.1,0.4,,,47.1,,58.3,,,
Rob Davis,Forward,79.0,201,,Dartmouth,1997,2,33.0,,3.9,1.1,0.6,0.1,0.0,,42.9,41.7,66.7,57.1,,1.0
Robert Davis,Forward,80.0,203,,Louisiana-Lafayette,2003,2,27.0,,1.4,1.4,0.0,0.0,0.1,,30.0,,48.1,30.0,,-0.1
Robert Davis,Guard,74.0,188,,Loyola Marymount,2002,3,82.0,,8.9,3.4,1.4,0.7,0.1,,37.0,32.3,68.8,44.9,,2.2
Robert Davis,Guard,68.0,173,,SMU,1987,1,4.0,,0.5,0.2,,,,,,,66.7,,,
Robert Davis,Forward,78.0,198,,Georgia Tech,1976,3,66.0,,8.0,4.5,,,,,45.9,,64.7,,,
Robert Davis,,,,,SMU,1980,1,4.0,,1.0,0.5,0.5,,,,22.2,,,,,
Robyn Davis,Guard,76.0,193,,Wyoming,1989,2,62.0,,14.7,4.0,1.3,0.9,0.4,,47.4,36.1,71.7,50.8,,
Robyn Davis,Guard,75.0,190,,Missouri,1986,1,14.0,,2.7,1.7,0.9,0.4,0.1,,37.5,,57.1,,,
Rod Davis,Forward,79.0,201,,Appalachian State,1986,4,113.0,21.3,9.2,4.4,0.5,0.5,0.2,1.6,54.4,,67.9,,,
Rodell Davis,Forward,75.0,190,,Iowa,1992,3,86.0,,5.8,2.5,0.6,0.6,0.1,,53.7,25.0,56.9,54.3,,
Roderick Davis,Forward,80.0,225,Brandon,Wright State,2016,2,40.0,8.4,1.6,1.2,0.1,0.1,0.3,0.6,55.8,0.0,35.0,55.8,5.1,0.1
Rodney Davis,Center,81.0,206,,Oral Roberts,1988,2,31.0,,0.8,1.8,0.2,0.4,0.2,,31.3,,35.7,31.3,,
Rodney Davis,Guard,75.0,190,,Northern Illinois,1988,4,93.0,,12.6,3.4,3.6,1.3,0.2,,48.4,,77.6,,,
Roger Davis,Center,,,,Idaho,1975,3,72.0,,6.8,9.5,,,,,42.9,,55.0,,,
Roman Davis,Forward,79.0,190,Windward HS,University of California,2017,1,14.0,3.4,1.1,0.8,0.0,0.0,0.0,0.1,41.2,0.0,20.0,41.2,5.3,0.0
Ron Davis,Forward,78.0,198,,Washington State,1976,2,52.0,31.4,14.3,6.6,2.1,,,,49.4,,67.0,,,
Ron Davis,Forward,79.0,201,,Arizona,1981,2,53.0,28.4,16.3,4.9,1.1,1.0,0.3,,50.1,,71.5,,,
Ronnie Davis,Forward,79.0,201,,South Alabama,1980,2,41.0,,6.5,3.7,0.2,0.4,0.5,,51.5,,59.6,,,
Ronnie Davis,Forward,79.0,201,,Ole Miss,1976,1,27.0,,9.0,5.8,0.9,,,,40.4,,66.7,,,
Roy Davis,,,,,Texas Christian,1959,2,27.0,,2.7,1.2,,,,,33.3,,,,,
Russ Davis,Forward,79.0,201,,Central Michigan,1976,3,77.0,,8.3,4.4,,,0.6,,45.4,,67.8,,,
