player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Mike Rivera,Guard,69.0,175,,St. Francis (NY),1974,3,71.0,,7.5,2.4,,,,,37.5,,70.3,,,
Ramon Rivera,Guard,77.0,196,,Houston,1986,1,16.0,,1.6,0.8,0.2,0.3,0.2,,31.3,,71.4,,,
Ray Rivera,Guard,76.0,193,,LIU-Brooklyn,2001,4,81.0,,8.4,3.8,0.9,1.1,0.3,,40.8,35.9,78.3,52.2,,5.7
Ross Rivera,Forward,79.0,225,El Diamente,Pacific,2014,3,97.0,19.7,8.9,2.9,0.5,0.4,0.2,1.0,45.9,37.1,81.9,49.9,17.9,6.1
Thomas Rivera,Guard,61.0,165,Paterson Eastside,Maryland-Eastern Shore,2017,2,62.0,19.6,4.6,1.8,3.1,0.9,0.0,2.0,33.7,28.7,68.3,40.2,8.2,0.5
_ Rivera,,,,,St. Peter's,1982,1,,,,,,,,,,,,,,
Felix Rivera-Vega,Forward,78.0,225,McArthur HS,Northern Arizona,2017,2,40.0,13.2,4.4,3.6,0.3,0.3,0.1,0.8,45.5,36.1,46.2,53.1,13.5,0.8
Austin Rivers,Guard,76.0,200,,Duke,2012,1,34.0,33.2,15.5,3.4,2.1,1.0,0.0,2.3,43.3,36.5,65.8,50.5,16.9,3.5
Belton Rivers,Guard,75.0,190,,East Carolina and Tennessee Tech,2007,4,117.0,,11.8,2.6,2.1,1.1,0.1,,37.4,34.6,72.9,47.5,,6.6
Bo Rivers,Guard,76.0,193,,Morehead State,1988,3,81.0,,9.8,6.0,1.4,1.2,0.1,,45.5,,62.7,,,
C.J. Rivers,Guard,74.0,186,Cahokia HS,Drake,2017,3,77.0,18.1,3.5,3.0,1.6,0.6,0.0,1.0,44.9,29.3,71.4,48.5,11.2,1.7
Chris Rivers,Forward,79.0,201,,Fairfield,2001,4,107.0,,8.7,2.8,0.5,0.5,0.2,,44.9,32.9,77.3,49.7,,5.2
Clyde Rivers,,,,,Utah,1985,2,14.0,,1.4,0.6,,0.3,,,25.0,,,,,
