Player,Team,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Kelly Oubre,WAS,"$2,093,040 ","$3,208,630 ",,,,,1st round pick,"$2,093,040 "
Tim Frazier,WAS,"$2,000,000 ",,,,,,Room exception,"$2,000,000 "
Mike Scott,WAS,"$1,709,538 ",,,,,,Minimum Salary,"$1,709,538 "
Chris McCullough,WAS,"$1,471,382 ","$2,243,326 ",,,,,1st Round pick,"$1,471,382 "
Sheldon McClellan,WAS,"$1,312,611 ",,,,,,Minimum Salary,"$50,000 "
Daniel Ochefu,WAS,"$1,312,611 ","$1,544,951 ",,,,,Cap Space,"$50,000 "
Martell Webster,WAS,"$830,000 ","$830,000 ",,,,,,"$1,660,000 "
Blake Griffin,LAC,"$29,512,900 ","$31,873,932 ","$34,234,964 ","$36,595,996 ","$38,957,028 ",,Bird Rights,"$132,217,792 "
DeAndre Jordan,LAC,"$22,642,350 ","$24,119,025 ",,,,,Bird Rights,"$22,642,350 "
Danilo Gallinari,LAC,"$20,559,599 ","$21,587,579 ","$22,615,559 ",,,,Sign and Trade,"$64,762,737 "
Austin Rivers,LAC,"$11,825,000 ","$12,650,000 ",,,,,Cap Space,"$11,825,000 "
Lou Williams,LAC,"$7,000,000 ",,,,,,Cap Space,"$7,000,000 "
Milos Teodosic,LAC,"$6,000,000 ","$6,300,000 ",,,,,MLE,"$6,000,000 "
Wesley Johnson,LAC,"$5,881,260 ","$6,134,000 ",,,,,Cap Space,"$5,881,260 "
Patrick Beverley,LAC,"$5,513,514 ","$5,027,028 ",,,,,Bird Rights,"$5,513,514 "
Sam Dekker,LAC,"$1,794,600 ","$2,760,095 ",,,,,1st Round pick,"$1,794,600 "
Willie Reed,LAC,"$1,577,230 ",,,,,,Minimum Salary,"$1,577,230 "
DeAndre Liggins,LAC,"$1,577,230 ",,,,,,Minimum Salary,"$26,773 "
Montrezl Harrell,LAC,"$1,471,382 ",,,,,,,"$1,471,382 "
Brice Johnson,LAC,"$1,331,160 ","$1,544,951 ","$2,500,725 ",,,,1st Round pick,"$1,331,160 "
Marshall Plumlee,LAC,"$1,312,611 ",,,,,,Minimum Salary,
Tyrone Wallace,LAC,"$815,615 ",,,,,,Minimum Salary,
Sindarius Thornwell,LAC,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,193,857 "
Jawun Evans,LAC,"$815,615 ","$1,378,242 ","$1,618,520 ",,,,MLE,"$2,193,857 "
Paul Pierce,LAC,"$1,096,080 ",,,,,,,"$1,096,080 "
Carlos Delfino,LAC,"$650,000 ","$650,000 ",,,,,,"$1,300,000 "
Jordan Farmar,LAC,"$510,921 ",,,,,,,"$510,921 "
Miroslav Raduljica,LAC,"$300,000 ","$300,000 ",,,,,,"$600,000 "
Damian Lillard,POR,"$26,153,057 ","$27,977,689 ","$29,802,321 ","$31,626,953 ",,,1st Round Pick,"$115,560,020 "
C.J. McCollum,POR,"$23,962,573 ","$25,759,766 ","$27,556,959 ","$29,354,152 ",,,1st Round Pick,"$106,633,450 "
Evan Turner,POR,"$17,131,148 ","$17,868,852 ","$18,606,557 ",,,,Cap Space,"$53,606,557 "
Maurice Harkless,POR,"$10,162,922 ","$10,837,079 ","$11,511,234 ",,,,Cap Space,"$32,511,235 "
Meyers Leonard,POR,"$9,904,495 ","$10,595,506 ","$11,286,515 ",,,,Cap Space,"$31,786,516 "
Al-Farouq Aminu,POR,"$7,319,035 ","$6,957,105 ",,,,,Cap Space,"$14,276,140 "
Ed Davis,POR,"$6,352,531 ",,,,,,Cap Space,"$6,352,531 "
Noah Vonleh,POR,"$3,505,233 ",,,,,,1st Round Pick,"$3,505,233 "
Zach Collins,POR,"$3,057,240 ","$3,628,920 ","$4,240,200 ","$5,406,255 ",,,1st Round Pick,"$6,686,160 "
Jusuf Nurkic,POR,"$2,947,305 ",,,,,,1st Round Pick,"$2,947,305 "
Shabazz Napier,POR,"$2,361,360 ",,,,,,1st Round Pick,"$2,361,360 "
