player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
David Haas,Guard,61.0,178,,Texas-Rio Grande Valley,1973,2,50.0,3.2,1.1,3.3,36.8,,75.0,,,
Isaac Haas,Center,86.0,297,Hokes Bluff HS,Purdue,2017,3,104.0,10.0,4.2,0.4,57.6,,66.0,57.6,24.7,7.6
Jason Haas,Guard,74.0,188,,Stanford,2006,4,122.0,1.7,0.8,1.2,30.1,25.0,87.9,34.2,,1.4
Mitch Haas,Forward,79.0,201,,Ohio State,1983,4,63.0,1.6,0.5,,51.3,,,,,
Richard Haas,,,,,Texas-Arlington,1974,1,12.0,2.4,1.0,,50.0,,55.6,,,
Tom Haas,,,,,Kansas State,1964,1,4.0,0.5,0.8,,50.0,,,,,
Bronson Haase,,,,,Marquette,1965,1,,,,,,,,,,
Dale Haase,Forward,,,,Kansas,1973,2,43.0,3.2,2.4,,35.2,,63.9,,,
Jerod Haase,Guard,,,,University of California and Kansas,1997,4,131.0,11.3,3.3,3.2,42.2,33.6,73.6,50.9,,
John Haase,Guard,76.0,193,,Navy,1990,1,7.0,1.9,0.4,0.1,62.5,66.7,100.0,75.0,,
John Haase,Guard,76.0,193,,Navy,1993,3,73.0,9.9,2.7,1.7,44.5,36.1,69.8,51.1,,
Steve Haase,Forward,76.0,193,,Air Force,1993,3,40.0,3.0,1.1,0.4,37.5,15.8,83.8,39.4,,
Mansa Habeeb,Guard,75.0,215,McKinley,Idaho,2013,2,58.0,4.6,1.7,1.1,44.6,18.4,69.1,46.5,10.2,0.7
Quadir Habeeb,Center,73.0,208,,St. Bonaventure and Howard,2003,2,55.0,3.1,2.8,0.4,40.1,,42.3,40.1,,0.6
Larry Habegger,Forward,79.0,201,,Wake Forest,1970,3,79.0,3.8,3.5,,41.2,,68.3,,,
Rich Habegger,Forward,78.0,198,,Wake Forest,1972,3,62.0,5.7,5.9,,48.1,,59.5,,,
Jerome Habel,Forward,73.0,208,,San Diego State,2007,1,29.0,10.9,6.2,0.8,59.6,0.0,52.6,59.6,,3.6
Mark Habell,,,,,Portland,1972,1,6.0,1.5,2.3,,9.1,,58.3,,,
Kyle Haber,Forward,79.0,180,Dubuque Senior HS,Brown,2017,3,37.0,2.2,1.2,0.3,37.5,31.7,59.1,46.5,7.9,0.3
Fred Haberecht,Center,80.0,203,,Iowa,1976,2,43.0,7.9,6.3,1.1,44.3,,65.6,,,
Brian Haberer,Guard,,,,Iowa,1998,3,16.0,0.6,0.6,0.1,20.0,9.1,,22.5,,-0.2
Miles Haberer,Guard,72.0,183,,SMU,1987,1,4.0,,,,,,,,,
Joe Haberl,,,,,UConn,1953,1,12.0,2.0,3.0,,20.8,,60.9,,,
John Haberle,,,,,Seattle,1952,1,27.0,2.4,,0.1,44.3,,35.7,,,
Norman Habermann,,,,,Rutgers,1955,3,29.0,,1.2,,,,,,,
Xavier Habersham,Guard-Forward,78.0,205,East Laurens,Middle Tennessee,2017,2,70.0,4.1,1.6,1.0,43.6,40.7,63.2,56.6,11.0,3.0
