player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Joey Quigley,Forward,80.0,210,Staley,Sacramento State,2014,2,57.0,1.7,1.6,0.3,32.7,26.3,57.1,35.1,10.1,0.5
Mike Quigley,Forward,78.0,198,,Alabama,1972,1,11.0,4.9,3.0,0.9,34.7,,76.9,,,
Terry Quigley,Guard,,,,Syracuse,1961,3,26.0,,1.2,,,,,,,
_ Quigley,,,,,Colorado State,1948,1,,,,,,,,,,
Ryan Quigtar,Guard,61.0,180,,Miami (FL),2012,4,21.0,0.5,0.1,0.2,33.3,33.3,50.0,38.9,,0.1
Drouzon Quillen,,,,,Louisiana-Monroe,2003,1,3.0,0.0,1.3,0.0,,,,,,0.0
John Quillen,,,,,Virginia Tech,1957,3,69.0,7.8,,,38.1,,65.4,,,
Lonnie Quillen,,,,,Baylor,1953,3,41.0,1.1,,,37.8,,52.2,,,
_ Quillin,,,,,Akron,1948,1,,,,,,,,,,
Ron Quilling,Guard,61.0,178,,Montana,1961,2,29.0,2.7,1.2,,36.4,,61.9,,,
_ Quilling,,,,,Montana,1962,1,,,,,,,,,,
Sean Quillivan,Forward,78.0,198,,Nicholls State,1988,3,75.0,2.1,1.1,0.6,41.8,,52.9,,,
Dan Quilty,,,,,NYU,1949,2,,,,,,,,,,
Art Quimby,,,,,UConn,1955,4,80.0,17.5,21.4,,,,,,,
Mike Quimby,Forward,77.0,196,,UTEP,1971,1,10.0,0.5,0.8,,25.0,,75.0,,,
MIke Quimby,Forward,77.0,196,,UTEP,1970,1,8.0,1.0,0.6,,33.3,,66.7,,,
Dan Quindazzi,Forward,75.0,190,,Alabama,1959,2,46.0,7.1,6.2,,46.1,,69.8,,,
Brad Quinet,Guard,74.0,188,,San Jose State,1997,3,55.0,12.5,2.6,2.0,,29.3,76.3,,,
Derek Quinet,Center,81.0,206,,Cal State Fullerton,2005,1,22.0,2.4,1.8,0.2,52.3,0.0,58.3,52.3,,0.4
Donte Quinine,Forward,78.0,198,,Oregon,1999,3,71.0,2.1,1.1,0.5,36.8,27.7,55.4,41.5,,0.7
Bill Quinlan,,,,,Providence,1954,2,21.0,2.9,0.4,,46.0,,77.8,,,
Darren Quinlan,Forward,76.0,193,,St. Bonaventure,1987,2,53.0,6.0,1.7,0.9,40.2,,65.9,,,
Tom Quinlan,,,,,Duquesne,1949,1,,,,,,,,,,
Aqeel Quinn,Guard,75.0,200,Leuzinger,Cal State Northridge and San Diego State,2015,4,120.0,6.4,2.0,1.4,36.6,34.5,75.9,45.2,13.2,6.3
Barry Quinn,Forward,77.0,196,,Montana State,1969,2,20.0,3.0,2.0,,34.8,,59.1,,,
Bill Quinn,,,,,Arkansas State,1977,1,2.0,,0.5,,,,,,,
Brian Quinn,Guard,61.0,180,,Loyola Marymount,1963,3,73.0,9.1,2.2,,36.6,,74.4,,,
Cedric Quinn,Guard,72.0,183,,Grambling,1989,2,41.0,6.0,1.6,1.4,39.6,35.5,81.5,48.8,,
Chris Quinn,Forward,77.0,196,,Evansville,1997,4,112.0,6.0,3.3,0.9,53.0,27.3,65.4,53.3,,
Chris Quinn,Guard,74.0,185,,Notre Dame,2006,4,123.0,11.8,2.7,3.5,44.6,41.7,82.5,55.5,,13.6
Dakota Quinn,Forward,81.0,215,,Samford,2016,1,27.0,2.6,1.8,0.1,55.2,0.0,46.7,55.2,15.1,0.5
Dan Quinn,Forward,77.0,196,,Central Michigan,2004,4,26.0,1.2,0.6,0.1,60.0,100.0,71.4,62.5,,0.2
Dan Quinn,Forward,,,,Notre Dame,1969,3,29.0,1.1,1.1,,32.4,,,,,
Danny Quinn,Forward,78.0,230,,Towson,2011,2,26.0,0.9,1.4,0.3,34.5,20.0,40.0,37.9,8.0,0.1
Diago Quinn,Forward,81.0,280,Lake Forest Academy,Monmouth,2017,2,70.0,3.1,2.5,0.1,50.3,0.0,70.2,50.3,11.2,2.0
FRANCIS Quinn,,,,,UConn,1957,1,23.0,8.2,1.4,,39.0,,62.3,,,
Francis Quinn,,,,,UConn,1956,2,50.0,6.4,,,,,,,,
Frank Quinn,Center,72.0,183,,Boston College,1961,3,60.0,6.2,7.5,,43.6,,53.5,,,
Gerome Quinn,,,,,Columbia,1981,1,4.0,3.2,4.8,1.5,50.0,,50.0,,,
Irv Quinn,,,,,Florida State,1952,1,20.0,5.0,,,24.0,,53.1,,,
Jim Quinn,Guard,75.0,190,,Iona,1972,3,59.0,5.3,2.1,,37.8,,,,,
Joe Quinn,Guard,72.0,183,,Army,2002,4,73.0,2.3,0.6,0.5,35.2,34.7,69.0,44.0,,0.3
John Quinn,Forward,80.0,203,,New Hampshire,1980,3,44.0,2.7,1.8,,42.6,,,,,
John Quinn,Guard,74.0,188,,Iona,1976,3,63.0,3.5,1.3,,42.4,,50.9,,,
John Quinn,,,,,Virginia,1967,1,9.0,5.7,1.9,,30.8,,64.7,,,
Kevin Quinn,,,,,St. Joseph's,1987,1,1.0,,,,,,,,,
Lee Quinn,Guard,75.0,190,,Campbell,1982,3,38.0,7.1,,,40.6,,66.0,,,
Marcus Quinn,Center,81.0,206,,Texas-Rio Grande Valley,2002,2,59.0,9.0,5.1,0.3,55.4,30.8,63.6,56.5,,5.0
Matt Quinn,Forward,77.0,196,,Bucknell,2004,4,105.0,4.4,2.0,0.8,33.2,29.1,74.7,42.0,,2.2
Paddy Quinn,Guard,73.0,190,Don Bosco Prep,Columbia,2015,3,18.0,0.6,0.2,0.1,75.0,0.0,83.3,75.0,17.4,0.2
Pat Quinn,Guard,61.0,180,,Citadel,2004,1,9.0,2.1,0.2,0.4,36.8,44.4,33.3,47.4,,0.0
Pat Quinn,Forward,80.0,203,,Northern Iowa,1987,3,26.0,2.0,1.6,,40.0,,67.9,,,
Ray Quinn,,,,,Drake,1963,2,49.0,8.1,6.5,,42.3,,64.1,,,
Rick Quinn,Forward,76.0,193,,San Jose State,1977,2,53.0,8.5,4.2,2.1,50.3,,76.1,,,
Rick Quinn,Forward,76.0,193,,Kent State,1972,2,21.0,1.3,1.7,,,,46.7,,,
Roy Quinn,Guard,73.0,185,,Virginia Military Institute,1960,1,19.0,13.1,5.8,,43.2,,77.6,,,
Terry Quinn,Guard,69.0,175,,Nevada,1972,1,19.0,12.2,2.6,,41.5,,77.5,,,
Terry Quinn,Guard,61.0,178,,Montana State,1970,1,25.0,9.1,1.6,,40.4,,76.2,,,
Tyler Quinn,Guard,75.0,190,,Southern Miss,2006,3,16.0,0.6,0.3,0.1,21.1,0.0,33.3,21.1,,-0.3
_ Quinn,,,,,West Texas A&M,1962,1,,,,,,,,,,
_ Quinn,Center,,,,Navy,1948,1,,,,,,,,,,
Brian Quinnett,Forward,80.0,235,,Washington State,1988,4,112.0,12.6,4.8,1.4,48.6,,69.7,,,
Bob Quinney,Forward,77.0,196,,BYU,1965,3,77.0,10.5,5.5,,43.9,,81.8,,,
Michael Quinney,Guard,61.0,178,,San Jose State,1999,2,54.0,13.0,2.8,3.4,37.9,36.6,68.8,47.8,,3.1
Tyler Quinney,Forward,79.0,201,,Southern Utah,2009,2,60.0,10.1,4.2,1.2,49.1,0.0,80.8,49.1,,3.5
Ed Quinones,,,,,St. Bonaventure,1952,1,6.0,0.2,0.2,0.2,,,50.0,,,
Gary Quint,,,,,Murray State,1966,2,22.0,1.6,2.4,,61.1,,76.5,,,
John Quintana,Guard,73.0,185,,St. Francis (NY),2004,2,53.0,11.9,2.5,2.1,37.0,35.3,79.7,44.5,,1.9
Marco Quinto,Forward,78.0,198,,Eastern Washington,2002,4,87.0,4.5,1.7,0.6,48.4,50.3,71.8,62.1,,3.6
Ed Quirk,,,,,Fordham,1962,1,3.0,,,,,,,,,
Stan Quirk,Guard,68.0,173,,Cleveland State,1979,4,68.0,1.5,0.5,,32.4,,55.6,,,
Stanley Quirk,,,,,Colorado State,1977,1,,,,,,,,,,
John Quist,Center,,,,Montana,1966,3,71.0,8.5,6.5,,47.4,,60.5,,,
Brian Qvale,Center,73.0,260,,Montana,2011,4,117.0,9.0,6.2,0.6,58.9,0.0,63.8,58.9,,13.1
