Player,Pos,Shooting_hand,Height_inches,Weight_lbs,College,Draft_year,Draft_position,Season_count,Age,G,GS,MP,FG,FGA,FG_PERC,THREE_P,THREE_PA,THREE_PERC,TWO_P,TWO_PA,TWO_PERC,EFG_PERC,FT,FTA,FT_PERC,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ALL_STAR,PER,WS,SALARY
A.J. Hammons,C,Right,84,260,Purdue University,2016,46,1,24,22,0,163,17,42,0.405,5,10,0.5,12,32,0.375,0.464,9,20,0.45,8,28,36,4,1,13,10,21,48,0,8.4,0,650000
Aaron Brooks,PG,Right,72,161,University of Oregon,2007,26,15,32,65,0,894,121,300,0.403,48,128,0.375,73,172,0.424,0.483,32,40,0.8,18,51,69,125,25,9,66,93,322,0,9.5,0.3,2700000
Aaron Gordon,SF,Right,81,220,University of Arizona,2014,4,3,21,80,72,2298,393,865,0.454,77,267,0.288,316,598,0.528,0.499,156,217,0.719,116,289,405,150,65,40,89,172,1019,0,14.5,3.7,4351320
Aaron Harrison,SG,Right,78,210,University of Kentucky,0,0,2,22,5,0,17,0,4,0,0,2,0,0,2,0,0,1,2,0.5,0,3,3,3,0,0,0,2,1,0,2.2,0.1,9375579
Adreian Payne,PF,Right,82,237,Michigan State University,2014,15,5,25,18,0,135,23,54,0.426,3,15,0.2,20,39,0.513,0.454,14,19,0.737,9,24,33,7,8,7,8,32,63,0,14.4,0.2,2022240
Al Horford,C,Right,82,245,no_college,2007,3,10,30,68,68,2193,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,370,465,337,52,86,115,138,952,1,17.7,6.3,26540100
Al Jefferson,C,Right,82,289,no_college,2004,15,13,32,66,1,931,235,471,0.499,0,1,0,235,470,0.5,0.499,65,85,0.765,75,203,278,57,19,16,33,125,535,0,18.9,2.3,10230179
Al-Farouq Aminu,SF,Right,81,220,Wake Forest University,2010,8,7,26,61,25,1773,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,451,99,60,44,94,102,532,0,11.3,1.9,7680965
Alan Anderson,SF,Right,78,220,Michigan State University,0,0,8,34,30,0,308,30,80,0.375,14,44,0.318,16,36,0.444,0.463,12,16,0.75,3,21,24,11,3,0,7,35,86,0,5,0.1,1315448
Alan Williams,C,Right,80,260,"University of California, Santa Barbara",0,0,2,24,47,0,708,138,267,0.517,0,1,0,138,266,0.519,0.517,70,112,0.625,94,198,292,23,27,32,37,125,346,0,19.5,2.1,6874636
Alec Burks,SG,Right,78,214,University of Colorado,2011,12,6,25,42,0,653,99,248,0.399,25,76,0.329,74,172,0.43,0.45,60,78,0.769,17,103,120,30,18,5,35,50,283,0,11.6,0.8,10154495
Alex Abrines,SG,Right,78,190,no_college,2013,32,1,23,68,6,1055,134,341,0.393,94,247,0.381,40,94,0.426,0.531,44,49,0.898,18,68,86,40,37,8,33,114,406,0,10.1,2.1,5994764
Alex Len,C,Right,85,260,University of Maryland,2013,5,4,23,77,34,1560,230,463,0.497,3,12,0.25,227,451,0.503,0.5,150,208,0.721,156,354,510,44,38,98,102,242,613,0,15,3,4823621
Alex Poythress,PF,Right,79,238,University of Kentucky,0,0,1,23,6,1,157,25,54,0.463,6,19,0.316,19,35,0.543,0.519,8,10,0.8,11,18,29,5,3,2,3,14,64,0,13.2,0.3,8135381
Alexis Ajinca,C,Right,86,248,no_college,2008,20,9,28,39,15,584,89,178,0.5,0,4,0,89,174,0.511,0.5,29,40,0.725,46,131,177,12,20,22,31,77,207,0,12.9,1,4600000
Allen Crabbe,SG,Right,78,210,University of California,2013,31,4,24,79,7,2254,303,647,0.468,134,302,0.444,169,345,0.49,0.572,105,124,0.847,19,207,226,94,54,20,62,171,845,0,11.6,4.2,18500000
Alonzo Gee,SF,Right,78,225,University of Alabama,0,0,13,29,13,0,89,3,14,0.214,0,3,0,3,11,0.273,0.214,5,9,0.556,4,11,15,6,5,1,4,14,11,0,3.1,0.1,7495227
Amir Johnson,PF,Right,81,240,no_college,2005,56,12,29,80,77,1608,213,370,0.576,27,66,0.409,186,304,0.612,0.612,67,100,0.67,118,248,366,140,51,62,77,211,520,0,15,5,12000000
Anderson Varejao,C,Right,82,273,no_college,2004,30,15,34,14,1,92,5,14,0.357,0,0,,5,14,0.357,0.357,8,11,0.727,12,15,27,10,3,3,8,16,18,0,9.4,0.2,1551659
Andre Drummond,C,Right,83,279,University of Connecticut,2012,9,5,23,81,81,2409,483,911,0.53,2,7,0.286,481,904,0.532,0.531,137,355,0.386,345,770,1115,90,124,89,152,237,1105,1,20.9,6.7,22116750
Andre Iguodala,SF,Right,78,215,University of Arizona,2004,9,13,33,76,0,1998,219,415,0.528,64,177,0.362,155,238,0.651,0.605,72,102,0.706,51,253,304,261,76,39,58,97,574,1,14.3,6.9,11131368
Andre Roberson,SF,Right,79,210,University of Colorado,2013,26,4,25,79,79,2376,215,463,0.464,45,184,0.245,170,279,0.609,0.513,47,111,0.423,98,305,403,79,94,79,51,204,522,0,9.6,4.2,2183072
Andrew Bogut,C,Right,84,260,University of Utah,2005,1,14,32,54,42,1166,76,162,0.469,0,2,0,76,160,0.475,0.469,6,22,0.273,112,324,436,98,26,50,86,172,158,0,9.3,0.7,11269251
Andrew Harrison,PG,Right,78,213,University of Kentucky,2015,44,1,22,72,18,1474,117,360,0.325,43,156,0.276,74,204,0.363,0.385,148,194,0.763,23,113,136,198,53,21,85,194,425,0,8.7,1.6,945000
Andrew Nicholson,PF,Right,81,250,St. Bonaventure University,2012,19,7,27,76,0,684,86,222,0.386333333,10,54,0.185,76,168,0.457666667,0.410333333,18,28,0.742,30,92,122,20,32,12,34,110,200,0,5.9,0.1,6088993
Andrew Wiggins,SF,Right,80,199,no_college,2014,1,3,21,82,82,3048,709,1570,0.452,103,289,0.356,606,1281,0.473,0.484,412,542,0.76,102,226,328,189,82,30,187,183,1933,0,16.5,4.2,6006600
Anthony Bennett,PF,Right,80,245,"University of Nevada, Las Vegas",2013,1,4,23,23,1,264,38,92,0.413,13,48,0.271,25,44,0.568,0.484,26,36,0.722,25,53,78,12,5,3,12,18,115,0,14.7,0.5,1015696
Anthony Brown,SF,Right,79,210,Stanford University,2015,34,2,24,22,0,318,36,100,0.381666667,14,54,0.280666667,22,46,0.483,0.448333333,0,0,,16,50,66,16,10,2,12,30,86,0,7.2,0,1034128
Anthony Davis,C,Right,82,253,University of Kentucky,2012,1,5,23,75,75,2708,770,1526,0.505,40,134,0.299,730,1392,0.524,0.518,519,647,0.802,172,712,884,157,94,167,181,168,2099,1,27.5,11,22116750
Anthony Morrow,SG,Right,77,210,Georgia Institute of Technology,0,0,13,31,98,14,1428,196,504,0.396333333,82,266,0.343666667,114,238,0.456333333,0.483666667,68,74,0.934666667,24,38,62,50,48,4,12,88,542,0,10.1,1.2,3488000
Anthony Tolliver,PF,Right,80,240,Creighton University,0,0,13,31,65,9,1477,155,351,0.442,90,230,0.391,65,121,0.537,0.57,61,82,0.744,51,186,237,77,34,20,56,109,461,0,11.1,2.3,8000000
Archie Goodwin,SG,Right,77,200,University of Kentucky,2013,29,6,22,30,0,428,72,132,0.500666667,10,30,0.380333333,62,102,0.522,0.557666667,66,84,0.835,14,42,56,48,8,10,28,16,220,0,18.7,0.7,95600
Arinze Onuaku,C,Right,81,255,Syracuse University,2013,0,3,29,8,0,28,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,2,4,6,2,0,1,2,3,4,0,5.8,0,440078
Aron Baynes,C,Right,82,260,no_college,0,0,5,30,75,2,1163,143,279,0.513,0,0,,143,279,0.513,0.513,79,94,0.84,111,222,333,32,17,39,50,166,365,0,13.1,3,6500000
Arron Afflalo,SG,Right,77,210,"University of California, Los Angeles",2007,27,12,31,61,45,1580,185,420,0.44,62,151,0.411,123,269,0.457,0.514,83,93,0.892,9,116,125,78,21,6,42,104,515,0,8.9,1.4,12500000
Austin Rivers,SG,Right,76,200,Duke University,2012,10,7,24,74,29,2054,323,731,0.442,111,299,0.371,212,432,0.491,0.518,132,191,0.691,20,141,161,204,48,10,115,187,889,0,11.4,2.5,11000000
Avery Bradley,SG,Right,74,180,University of Texas at Austin,2010,19,7,26,55,55,1835,359,775,0.463,108,277,0.39,251,498,0.504,0.533,68,93,0.731,65,269,334,122,68,11,88,141,894,0,14.4,3.1,8269663
Axel Toupane,SF,Right,79,197,no_college,2015,0,2,24,8,0,94,10,18,0.393666667,2,8,0.194333333,8,10,0.8,0.433,0,0,,0,2,2,0,2,2,0,12,22,0,6.2,0.1,72029
Ben Bentil,PF,Right,81,235,Providence College,2016,51,1,21,3,0,10,0,3,0,0,1,0,0,2,0,0,0,0,,0,2,2,0,0,0,1,1,0,0,-17.6,-0.1,331969
Ben McLemore,SG,Right,77,195,University of Kansas,2013,7,4,23,61,26,1176,180,419,0.43,65,170,0.382,115,249,0.462,0.507,70,93,0.753,19,110,129,51,29,6,62,108,495,0,9.8,0.4,4008882
Beno Udrih,PG,Left,75,205,no_college,2004,28,19,34,39,0,560,92,197,0.467,11,32,0.344,81,165,0.491,0.495,32,34,0.941,6,51,57,131,13,0,36,29,227,0,16.2,1.3,1551659
Bismack Biyombo,C,Right,81,255,no_college,2011,7,6,24,81,27,1793,179,339,0.528,0,0,,179,339,0.528,0.528,125,234,0.534,157,410,567,74,25,91,95,202,483,0,12.2,2.9,17000000
Blake Griffin,PF,Right,82,251,University of Oklahoma,2009,1,7,27,61,61,2076,479,971,0.493,38,113,0.336,441,858,0.514,0.513,320,421,0.76,112,385,497,300,57,22,142,157,1316,1,22.6,7.7,20140838
Boban Marjanovic,C,Right,87,290,no_college,0,0,2,28,35,0,293,72,132,0.545,0,0,,72,132,0.545,0.545,47,58,0.81,46,84,130,9,6,12,10,25,191,0,29.6,1.7,7000000
Bobby Brown,PG,Right,74,175,"California State University, Fullerton",0,0,7,32,25,0,123,23,60,0.383,14,35,0.4,9,25,0.36,0.5,2,2,1,0,6,6,14,1,0,5,5,62,0,10.8,0.1,3934293
Bobby Portis,PF,Right,83,230,University of Arkansas,2015,22,2,21,64,13,1000,183,375,0.488,32,96,0.333,151,279,0.541,0.531,39,59,0.661,75,221,296,35,16,11,37,94,437,0,14.9,2.4,1453680
Bojan Bogdanovic,SF,Right,80,216,no_college,2011,31,5,27,162,108,4166,752,1690,0.447333333,288,784,0.371666667,464,906,0.514,0.534666667,434,486,0.900333333,74,480,554,222,68,14,262,292,2226,0,13.5,2.9,3730653
Boris Diaw,PF,Right,80,250,no_college,2003,21,18,34,73,33,1283,146,327,0.446,20,81,0.247,126,246,0.512,0.477,26,35,0.743,46,112,158,170,18,9,87,83,338,0,9,1.1,7000000
Bradley Beal,SG,Right,77,207,University of Florida,2012,3,5,23,77,77,2684,637,1322,0.482,223,552,0.404,414,770,0.538,0.566,282,342,0.825,53,187,240,267,83,21,156,169,1779,0,20.1,8.5,22116750
Brandan Wright,PF,Left,82,210,University of North Carolina,2007,8,14,29,28,5,447,83,135,0.615,0,1,0,83,134,0.619,0.615,23,35,0.657,31,47,78,15,11,20,10,42,189,0,18.5,1.6,5700000
Brandon Bass,PF,Right,80,250,Louisiana State University,2005,33,12,31,52,0,577,107,186,0.575,1,3,0.333,106,183,0.579,0.578,77,88,0.875,43,86,129,21,14,11,29,45,292,0,19.7,2.2,1551659
Brandon Ingram,SF,Right,81,190,Duke University,2016,2,1,19,79,40,2279,276,686,0.402,55,187,0.294,221,499,0.443,0.442,133,214,0.621,60,256,316,166,50,36,116,158,740,0,8.5,0.3,5281680
Brandon Jennings,PG,Left,73,170,no_college,2009,10,12,27,162,26,3604,384,1070,0.337666667,158,504,0.288333333,226,566,0.382333333,0.405666667,228,304,0.737333333,58,334,392,790,140,8,256,232,1154,0,12.1,1.7,1200000
Brandon Knight,SG,Right,75,189,University of Kentucky,2011,8,8,25,54,5,1140,209,525,0.398,45,139,0.324,164,386,0.425,0.441,132,154,0.857,25,93,118,130,27,5,88,87,595,0,12.4,0.3,12606250
Brandon Rush,SG,Right,78,220,University of Kansas,2008,13,9,31,47,33,1030,70,187,0.374,44,114,0.386,26,73,0.356,0.492,13,18,0.722,16,83,99,45,22,23,28,42,197,0,6.6,0.4,3500000
Brian Roberts,PG,Right,73,173,University of Dayton,0,0,7,31,41,2,416,46,122,0.377,17,44,0.386,29,78,0.372,0.447,33,39,0.846,5,34,39,52,9,1,26,18,142,0,9.8,0.2,1050961
Briante Weber,PG,Right,74,165,Virginia Commonwealth University,0,0,6,24,40,0,410,50,120,0.403,2,20,0.081,48,100,0.474,0.409333333,22,32,0.682333333,16,36,52,42,24,2,16,32,124,0,11,0.3,8102898
Brice Johnson,PF,Right,82,230,University of North Carolina,2016,25,1,22,3,0,9,2,7,0.286,0,0,,2,7,0.286,0.286,0,0,,1,2,3,1,2,1,1,0,4,0,17.2,0,1273920
Brook Lopez,C,Right,84,275,Stanford University,2008,10,9,28,75,75,2222,555,1172,0.474,134,387,0.346,421,785,0.536,0.531,295,364,0.81,121,282,403,176,38,124,184,192,1539,1,20.4,4.9,21165675
Bruno Caboclo,SF,Right,81,218,no_college,2014,20,3,21,9,0,40,6,16,0.375,2,6,0.333,4,10,0.4,0.438,0,0,,5,5,10,4,2,1,2,4,14,0,14.6,0.1,1589640
