Player,Team,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Chris McCullough,WAS,1471382.0,2243326.0,0.0,0.0,0.0,0.0,1st Round pick,1471382.0
Sheldon McClellan,WAS,1312611.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,50000.0
Daniel Ochefu,WAS,1312611.0,1544951.0,0.0,0.0,0.0,0.0,Cap Space,50000.0
Martell Webster,WAS,830000.0,830000.0,0.0,0.0,0.0,0.0,0,1660000.0
Blake Griffin,LAC,29512900.0,31873932.0,34234964.0,36595996.0,38957028.0,0.0,Bird Rights,132217792.0
DeAndre Jordan,LAC,22642350.0,24119025.0,0.0,0.0,0.0,0.0,Bird Rights,22642350.0
Danilo Gallinari,LAC,20559599.0,21587579.0,22615559.0,0.0,0.0,0.0,Sign and Trade,64762737.0
Austin Rivers,LAC,11825000.0,12650000.0,0.0,0.0,0.0,0.0,Cap Space,11825000.0
Lou Williams,LAC,7000000.0,0.0,0.0,0.0,0.0,0.0,Cap Space,7000000.0
Milos Teodosic,LAC,6000000.0,6300000.0,0.0,0.0,0.0,0.0,MLE,6000000.0
Wesley Johnson,LAC,5881260.0,6134000.0,0.0,0.0,0.0,0.0,Cap Space,5881260.0
Patrick Beverley,LAC,5513514.0,5027028.0,0.0,0.0,0.0,0.0,Bird Rights,5513514.0
Sam Dekker,LAC,1794600.0,2760095.0,0.0,0.0,0.0,0.0,1st Round pick,1794600.0
Willie Reed,LAC,1577230.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,1577230.0
DeAndre Liggins,LAC,1577230.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,26773.0
Montrezl Harrell,LAC,1471382.0,0.0,0.0,0.0,0.0,0.0,0,1471382.0
Brice Johnson,LAC,1331160.0,1544951.0,2500725.0,0.0,0.0,0.0,1st Round pick,1331160.0
Marshall Plumlee,LAC,1312611.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Tyrone Wallace,LAC,815615.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Sindarius Thornwell,LAC,815615.0,1378242.0,1618520.0,0.0,0.0,0.0,MLE,2193857.0
Jawun Evans,LAC,815615.0,1378242.0,1618520.0,0.0,0.0,0.0,MLE,2193857.0
Paul Pierce,LAC,1096080.0,0.0,0.0,0.0,0.0,0.0,0,1096080.0
Carlos Delfino,LAC,650000.0,650000.0,0.0,0.0,0.0,0.0,0,1300000.0
Jordan Farmar,LAC,510921.0,0.0,0.0,0.0,0.0,0.0,0,510921.0
Miroslav Raduljica,LAC,300000.0,300000.0,0.0,0.0,0.0,0.0,0,600000.0
Damian Lillard,POR,26153057.0,27977689.0,29802321.0,31626953.0,0.0,0.0,1st Round Pick,115560020.0
C.J. McCollum,POR,23962573.0,25759766.0,27556959.0,29354152.0,0.0,0.0,1st Round Pick,106633450.0
Evan Turner,POR,17131148.0,17868852.0,18606557.0,0.0,0.0,0.0,Cap Space,53606557.0
Maurice Harkless,POR,10162922.0,10837079.0,11511234.0,0.0,0.0,0.0,Cap Space,32511235.0
Meyers Leonard,POR,9904495.0,10595506.0,11286515.0,0.0,0.0,0.0,Cap Space,31786516.0
Al-Farouq Aminu,POR,7319035.0,6957105.0,0.0,0.0,0.0,0.0,Cap Space,14276140.0
Ed Davis,POR,6352531.0,0.0,0.0,0.0,0.0,0.0,Cap Space,6352531.0
Noah Vonleh,POR,3505233.0,0.0,0.0,0.0,0.0,0.0,1st Round Pick,3505233.0
Zach Collins,POR,3057240.0,3628920.0,4240200.0,5406255.0,0.0,0.0,1st Round Pick,6686160.0
Jusuf Nurkic,POR,2947305.0,0.0,0.0,0.0,0.0,0.0,1st Round Pick,2947305.0
Shabazz Napier,POR,2361360.0,0.0,0.0,0.0,0.0,0.0,1st Round Pick,2361360.0
Pat Connaughton,POR,1471382.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,1471382.0
Caleb Swanigan,POR,1465920.0,1740000.0,2033160.0,3665787.0,0.0,0.0,1st Round Pick,3205920.0
Jake Layman,POR,1312611.0,1544951.0,0.0,0.0,0.0,0.0,Cap Space,1312611.0
Andrew Nicholson,POR,2844429.0,2844429.0,2844429.0,2844429.0,2844429.0,2844429.0,0,19911003.0
Anderson Varejao,POR,1913345.0,1913345.0,1913345.0,1913345.0,0.0,0.0,0,7653380.0
Festus Ezeli,POR,333334.0,333333.0,333333.0,0.0,0.0,0.0,0,1000000.0
Giannis Antetokounmpo,MIL,22471910.0,24157303.0,25842697.0,27528090.0,0.0,0.0,1st Round Pick,100000000.0
Greg Monroe,MIL,17884176.0,0.0,0.0,0.0,0.0,0.0,Cap Space,17884176.0
Khris Middleton,MIL,14100000.0,13000000.0,13000000.0,0.0,0.0,0.0,Bird Rights,27100000.0
John Henson,MIL,11422536.0,10577466.0,9732396.0,0.0,0.0,0.0,1st Round Pick,31732398.0
Mirza Teletovic,MIL,10500000.0,10500000.0,0.0,0.0,0.0,0.0,Cap Space,21000000.0
Tony Snell,MIL,9821429.0,10607143.0,11392857.0,12178571.0,0.0,0.0,Cap space,31821429.0
Matthew Dellavedova,MIL,9607500.0,9607500.0,9607500.0,0.0,0.0,0.0,Cap Space,28822500.0
Jabari Parker,MIL,6782392.0,0.0,0.0,0.0,0.0,0.0,1st Round Pick,6782392.0
Thon Maker,MIL,2684160.0,2799720.0,3569643.0,0.0,0.0,0.0,1st Round pick,2684160.0
D.J. Wilson,MIL,2135040.0,2534280.0,2961120.0,4548280.0,0.0,0.0,1st Round Pick,4669320.0
Rashad Vaughn,MIL,1889040.0,2901565.0,0.0,0.0,0.0,0.0,1st round pick,1889040.0
Malcolm Brogdon,MIL,1312611.0,1544951.0,0.0,0.0,0.0,0.0,Cap Space,1312611.0
Gary Payton,MIL,1312611.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
JeQuan Lewis,MIL,815615.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Sterling Brown,MIL,815615.0,1378242.0,1618520.0,0.0,0.0,0.0,MLE,2193857.0
Spencer Hawes,MIL,6021175.0,0.0,0.0,0.0,0.0,0.0,0,6021175.0
Larry Sanders,MIL,1865547.0,1865547.0,1865547.0,1865547.0,1865547.0,0.0,0,9327735.0
Kyle Lowry,TOR,28703704.0,31000000.0,33296296.0,0.0,0.0,0.0,Bird Rights,93000000.0
DeMar DeRozan,TOR,27739975.0,27739975.0,27739975.0,27739975.0,0.0,0.0,Cap Space,83219925.0
Serge Ibaka,TOR,20061729.0,21666667.0,23271604.0,0.0,0.0,0.0,Cap space,65000000.0
Jonas Valanciunas,TOR,15460675.0,16539326.0,17617977.0,0.0,0.0,0.0,1st Round Pick,32000001.0
C.J. Miles,TOR,7936509.0,8333333.0,8730158.0,0.0,0.0,0.0,MLE,16269842.0
Lucas Nogueira,TOR,2947305.0,0.0,0.0,0.0,0.0,0.0,1st Round Pick,2947305.0
Jakob Poeltl,TOR,2825640.0,2947320.0,3754886.0,0.0,0.0,0.0,1st Round pick,2825640.0
Bruno Caboclo,TOR,2451225.0,0.0,0.0,0.0,0.0,0.0,1st Round Pick,2451225.0
Delon Wright,TOR,1645200.0,2536898.0,0.0,0.0,0.0,0.0,1st Round pick,1645200.0
OG Anunoby,TOR,1645200.0,1952760.0,2281800.0,3872215.0,0.0,0.0,1st Round Pick,3597960.0
K.J. McDaniels,TOR,1524305.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,100000.0
Norman Powell,TOR,1471382.0,0.0,0.0,0.0,0.0,0.0,Cap Space,1471382.0
Fred VanVleet,TOR,1312611.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Kyle Wiltjer,TOR,1312611.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Pascal Siakam,TOR,1312611.0,1544951.0,2351839.0,0.0,0.0,0.0,1st Round pick,1312611.0
Alfonzo McKinnie,TOR,815615.0,1378242.0,0.0,0.0,0.0,0.0,Minimum Salary,100000.0
Kennedy Meeks,TOR,815615.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Justin Hamilton,TOR,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0,3000000.0
James Harden,HOU,28299399.0,30431854.0,37800000.0,40824000.0,43848000.0,46872000.0,Bird Rights,181203253.0
Chris Paul,HOU,24599495.0,0.0,0.0,0.0,0.0,0.0,Bird Rights,24599495.0
Ryan Anderson,HOU,19578455.0,20421546.0,21264635.0,0.0,0.0,0.0,Cap Space,61264636.0
Eric Gordon,HOU,12943020.0,13500375.0,14057730.0,0.0,0.0,0.0,Cap Space,40501125.0
P.J. Tucker,HOU,7590035.0,7969537.0,8349039.0,7969537.0,0.0,0.0,MLE,26477799.0
Trevor Ariza,HOU,7420912.0,0.0,0.0,0.0,0.0,0.0,Bird Rights,7420912.0
Nene Hilario,HOU,3477600.0,3651480.0,3825360.0,0.0,0.0,0.0,Non-Bird Rights,10954440.0
Tarik Black,HOU,3290000.0,0.0,0.0,0.0,0.0,0.0,Bi-annual Exception,3290000.0
Clint Capela,HOU,2334520.0,0.0,0.0,0.0,0.0,0.0,1st Round Pick,2334520.0
Luc Mbah a Moute,HOU,2116955.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,2116955.0
Troy Williams,HOU,1471382.0,1544951.0,1676735.0,0.0,0.0,0.0,Non-Bird Rights,1926316.0
Chinanu Onuaku,HOU,1312611.0,1544951.0,0.0,0.0,0.0,0.0,Minimum Salary,2857562.0
Shawn Long,HOU,1312611.0,1544951.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Tim Quarterman,HOU,1312611.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Isaiah Taylor,HOU,1312611.0,1544951.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Zhou Qi,HOU,815615.0,1378242.0,1618520.0,1752950.0,0.0,0.0,MLE,815615.0
Cameron Oliver,HOU,815615.0,1378242.0,0.0,0.0,0.0,0.0,Minimum Salary,300000.0
Dwight Howard,CHO,23500000.0,23819725.0,0.0,0.0,0.0,0.0,Cap Space,47319725.0
Nicolas Batum,CHO,22434783.0,24000000.0,25565217.0,27130434.0,0.0,0.0,Cap Space,72000000.0
Marvin Williams,CHO,13168750.0,14087500.0,15006250.0,0.0,0.0,0.0,Cap Space,27256250.0
Michael Kidd-Gilchrist,CHO,13000000.0,13000000.0,13000000.0,0.0,0.0,0.0,1st Round Pick,26000000.0
Cody Zeller,CHO,12584270.0,13528090.0,14471910.0,15415730.0,0.0,0.0,1st Round Pick,56000000.0
Kemba Walker,CHO,12000000.0,12000000.0,0.0,0.0,0.0,0.0,1st Round Pick,24000000.0
Jeremy Lamb,CHO,7000000.0,7488372.0,0.0,0.0,0.0,0.0,Rookie scale extension,14488372.0
Malik Monk,CHO,2904480.0,3447480.0,4028400.0,5345687.0,0.0,0.0,1st Round Pick,6351960.0
Frank Kaminsky,CHO,2847600.0,3627842.0,0.0,0.0,0.0,0.0,1st round pick,2847600.0
Michael Carter-Williams,CHO,2700000.0,0.0,0.0,0.0,0.0,0.0,Bi-annual Exception,2700000.0
Johnny O'Bryant,CHO,1524305.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,1524305.0
Julyan Stone,CHO,1524305.0,1656092.0,0.0,0.0,0.0,0.0,Minimum Salary,1524305.0
Treveon Graham,CHO,1312611.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
T.J. Williams,CHO,815615.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Isaiah Hicks,CHO,815615.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Dwayne Bacon,CHO,815615.0,1378242.0,1618520.0,0.0,0.0,0.0,MLE,2193857.0
Andre Drummond,DET,23775506.0,25434263.0,27093019.0,28751775.0,0.0,0.0,Cap Space,76302788.0
Tobias Harris,DET,16000000.0,14800000.0,0.0,0.0,0.0,0.0,Bird Rights,30800000.0
Reggie Jackson,DET,16000000.0,17043478.0,18086956.0,0.0,0.0,0.0,Bird Rights,51130434.0
Jon Leuer,DET,10497319.0,10002681.0,9508043.0,0.0,0.0,0.0,Cap Space,30008043.0
Avery Bradley,DET,8808989.0,0.0,0.0,0.0,0.0,0.0,Bird Rights,8808989.0
Boban Marjanovic,DET,7000000.0,7000000.0,0.0,0.0,0.0,0.0,Cap Space,14000000.0
Langston Galloway,DET,6666667.0,7000000.0,7333333.0,0.0,0.0,0.0,MLE,21000000.0
Ish Smith,DET,6000000.0,6000000.0,0.0,0.0,0.0,0.0,Cap Space,12000000.0
Anthony Tolliver,DET,3290000.0,0.0,0.0,0.0,0.0,0.0,Bi-annual Exception,3290000.0
Stanley Johnson,DET,3097800.0,3940402.0,0.0,0.0,0.0,0.0,1st round pick,3097800.0
Luke Kennard,DET,2759280.0,3275280.0,3827160.0,5273826.0,0.0,0.0,1st Round Pick,6034560.0
Reggie Bullock,DET,2500000.0,2500000.0,0.0,0.0,0.0,0.0,Cap space,2500000.0
Henry Ellenson,DET,1780800.0,1857480.0,2856804.0,0.0,0.0,0.0,1st Round pick,1780800.0
Eric Moreland,DET,1739333.0,1826300.0,1913267.0,0.0,0.0,0.0,MLE,500000.0
Landry Nnoko,DET,815615.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Josh Smith,DET,5400000.0,5400000.0,5400000.0,0.0,0.0,0.0,0,16200000.0
Michael Gbinije,DET,500000.0,0.0,0.0,0.0,0.0,0.0,0,500000.0
Aaron Gray,DET,452059.0,0.0,0.0,0.0,0.0,0.0,0,452059.0
LaMarcus Aldridge,SAS,21461010.0,22347015.0,0.0,0.0,0.0,0.0,Cap Space,21461010.0
Kawhi Leonard,SAS,18868625.0,20099189.0,21329752.0,0.0,0.0,0.0,Bird Rights,38967814.0
Pau Gasol,SAS,16000000.0,16000000.0,16000000.0,0.0,0.0,0.0,0,38700000.0
Tony Parker,SAS,15453126.0,0.0,0.0,0.0,0.0,0.0,Bird Rights,15453126.0
Patty Mills,SAS,10714286.0,11571429.0,12428571.0,13285714.0,0.0,0.0,Bird Rights,48000000.0
Danny Green,SAS,10000000.0,10000000.0,0.0,0.0,0.0,0.0,Bird Rights,10000000.0
Rudy Gay,SAS,8406000.0,8826300.0,0.0,0.0,0.0,0.0,MLE,8406000.0
Manu Ginobili,SAS,2500000.0,2500000.0,0.0,0.0,0.0,0.0,0,5000000.0
Kyle Anderson,SAS,2151704.0,0.0,0.0,0.0,0.0,0.0,1st Round Pick,2151704.0
Joffrey Lauvergne,SAS,1524305.0,1656092.0,0.0,0.0,0.0,0.0,0,1524305.0
Derrick White,SAS,1404600.0,1667160.0,1948080.0,3516284.0,0.0,0.0,1st Round Pick,3071760.0
Dejounte Murray,SAS,1312611.0,1544951.0,2321735.0,0.0,0.0,0.0,1st Round pick,1312611.0
Bryn Forbes,SAS,1312611.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Davis Bertans,SAS,1312611.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,1312611.0
London Perrantes,SAS,815615.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Brandon Paul,SAS,815615.0,1378242.0,0.0,0.0,0.0,0.0,Minimum Salary,815615.0
Tim Duncan,SAS,1881250.0,1881250.0,0.0,0.0,0.0,0.0,0,3762500.0
Livio Jean-Charles,SAS,1035200.0,0.0,0.0,0.0,0.0,0.0,0,1035200.0
Jrue Holiday,NOP,25686667.0,26131111.0,26131111.0,26131111.0,27020000.0,0.0,Bird Rights,104080000.0
Anthony Davis,NOP,23775506.0,25434263.0,27093019.0,28751775.0,0.0,0.0,1st Round Pick,76302788.0
DeMarcus Cousins,NOP,18063850.0,0.0,0.0,0.0,0.0,0.0,1st Round Pick,18063850.0
Solomon Hill,NOP,12236535.0,12752928.0,13258781.0,0.0,0.0,0.0,Cap Space,38248244.0
Omer Asik,NOP,10595505.0,11286516.0,11977527.0,0.0,0.0,0.0,Bird Rights,24882021.0
E'Twaun Moore,NOP,8445024.0,8808685.0,8664928.0,0.0,0.0,0.0,Cap Space,25918637.0
Alexis Ajinca,NOP,4961798.0,5285394.0,0.0,0.0,0.0,0.0,Early Bird Rights,10247192.0
Rajon Rondo,NOP,3300000.0,0.0,0.0,0.0,0.0,0.0,MLE,3300000.0
Darius Miller,NOP,2100000.0,2205000.0,0.0,0.0,0.0,0.0,MLE,2100000.0
Jordan Crawford,NOP,1709538.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,250000.0
Ian Clark,NOP,1577230.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,1577230.0
Cheick Diallo,NOP,1312611.0,1544951.0,0.0,0.0,0.0,0.0,Minimum Salary,1812611.0
Frank Jackson,NOP,815615.0,1378242.0,1618520.0,0.0,0.0,0.0,MLE,2699857.0
Quinn Cook,NOP,25000.0,0.0,0.0,0.0,0.0,0.0,0,25000.0
Axel Toupane,NOP,25000.0,0.0,0.0,0.0,0.0,0.0,0,25000.0
Jimmy Butler,MIN,19301070.0,20445779.0,19841627.0,0.0,0.0,0.0,Bird Rights,39746849.0
Jeff Teague,MIN,19000000.0,19000000.0,19000000.0,0.0,0.0,0.0,Cap space,38000000.0
Gorgui Dieng,MIN,14112360.0,15170787.0,16229213.0,17287640.0,0.0,0.0,1st Round Pick,62800000.0
Taj Gibson,MIN,14000000.0,14000000.0,0.0,0.0,0.0,0.0,Cap space,28000000.0
Andrew Wiggins,MIN,7574322.0,0.0,0.0,0.0,0.0,0.0,1st Round Pick,7574322.0
Cole Aldrich,MIN,7300000.0,6956021.0,0.0,0.0,0.0,0.0,Cap Space,9356021.0
Karl-Anthony Towns,MIN,6216840.0,7839435.0,0.0,0.0,0.0,0.0,1st round pick,6216840.0
Jamal Crawford,MIN,4328000.0,4544400.0,0.0,0.0,0.0,0.0,Room Exception,4328000.0
Nemanja Bjelica,MIN,3949999.0,0.0,0.0,0.0,0.0,0.0,MLE,3949999.0
Justin Patton,MIN,2247480.0,2667600.0,3117240.0,4781846.0,0.0,0.0,1st Round Pick,4915080.0
Tyus Jones,MIN,1471382.0,2444053.0,0.0,0.0,0.0,0.0,1st Round pick,1471382.0
Marcus Georges-Hunt,MIN,1312611.0,0.0,0.0,0.0,0.0,0.0,Minimum Salary,0.0
Nikola Pekovic,MIN,11600000.0,0.0,0.0,0.0,0.0,0.0,0,11600000.0
Kevin Martin,MIN,1360305.0,1360305.0,0.0,0.0,0.0,0.0,0,2720610.0
Gordon Hayward,BOS,29727900.0,31214295.0,32700690.0,34187085.0,0.0,0.0,Cap space,93642885.0
Al Horford,BOS,27734405.0,28928710.0,30123015.0,0.0,0.0,0.0,Cap Space,56663115.0
Kyrie Irving,BOS,18868625.0,20099188.0,21329750.0,0.0,0.0,0.0,Bird Rights,38967813.0
Jayson Tatum,BOS,5645400.0,6700800.0,7830000.0,9897120.0,0.0,0.0,1st Round Pick,12346200.0
Marcus Morris,BOS,5000000.0,5375000.0,0.0,0.0,0.0,0.0,Bird Rights,10375000.0
