player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Chris Fagan,Forward,77.0,196,,Texas-Rio Grande Valley,2005,2,55.0,10.1,4.7,1.4,42.5,29.6,75.2,46.8,,4.2
Chris Fagan,Forward,77.0,196,,Colgate,1977,3,67.0,12.2,5.7,,52.5,,84.1,,,
Jeff Fagan,Center,73.0,208,,Long Beach State,1981,2,33.0,1.2,1.6,0.2,26.4,,52.0,,,
Joe Fagan,Guard,76.0,195,Bishop Chatard,Indiana,2014,1,5.0,0.0,0.2,0.0,,,,,-3.0,0.0
Ron Fagan,,,,,Loyola (IL),1954,2,29.0,2.9,1.6,,36.7,,67.6,,,
Sean Fagan,,,,,Mount St. Mary's,1989,1,26.0,3.1,2.8,1.0,41.9,25.0,54.5,43.0,,
Steve Fagan,Guard,67.0,170,,Brooklyn,1989,2,55.0,3.3,1.3,3.6,33.3,33.3,66.7,39.3,,
T Fagan,,,,,Michigan State,1972,1,,,,,,,,,,
Oladapo Fagbenle,Center,81.0,206,,Campbell,2008,2,55.0,1.5,2.8,0.5,41.6,0.0,41.7,41.6,,1.0
David Fagerness,,,,,Minnesota,1953,2,10.0,0.5,,,20.0,,,,,
Chris Faggi,Forward,80.0,203,,McNeese State,1982,4,108.0,13.6,5.6,,50.0,,67.0,,,
Lucas Faggiano,Guard,74.0,188,,LIU-Brooklyn,2009,1,15.0,6.1,2.4,3.0,42.4,37.5,78.8,49.2,,1.1
Ronnie Faggins,Forward,78.0,198,,Oklahoma City,1983,1,23.0,9.2,4.3,1.4,42.2,,65.2,,,
Terry Faggins,Forward,77.0,196,,Oklahoma State,1986,2,50.0,10.0,3.3,1.3,49.2,,77.9,,,
Willard Fagler,Center,77.0,196,,Nebraska,1955,4,84.0,8.4,5.9,,39.8,,67.3,,,
Dick Fagliano,Guard,74.0,188,,Saint Mary's (CA),1965,3,58.0,6.3,1.8,,43.2,,84.0,,,
Mike Fagundes,Forward,,,,U.S. International,1989,3,35.0,1.4,1.2,,48.6,23.1,68.8,52.9,,
_ Faher,Center,73.0,208,,Drake,1984,1,5.0,3.0,2.6,,36.8,,33.3,,,
Dan Fahey,Guard,75.0,195,St. Ignatius College Prep,Wisconsin,2013,4,27.0,0.5,0.5,0.1,50.0,0.0,83.3,50.0,17.9,0.2
Gene Fahey,Forward,73.0,185,,St. Bonaventure,1970,3,40.0,1.7,0.8,,36.4,,70.0,,,
Jim Fahey,,,,,Villanova,1957,3,55.0,8.7,8.9,,43.3,,54.9,,,
Joe Fahey,Guard,72.0,183,,LSU,1956,2,42.0,5.1,1.6,,32.9,,59.0,,,
Mike Fahey,Guard,61.0,180,,Brown,1966,2,43.0,2.7,1.1,,35.2,,60.4,,,
Pete Fahey,Center,77.0,196,,Dartmouth,1967,2,,,,,,,,,,
Terry Fahey,Center,81.0,206,,Georgia Southern,1981,2,51.0,5.2,4.8,,51.4,,51.4,,,
Gary Fahnenstiel,Guard,72.0,183,,Toledo,1975,1,9.0,0.7,0.2,,25.0,,66.7,,,
_ Fahnenstiel,,,,,Toledo,1976,1,,,,,,,,,,
Bob Fahnestock,Guard,61.0,180,,Washington,1966,2,37.0,1.8,1.0,,29.7,,71.8,,,
Scott Fahnestock,Forward,78.0,198,,Evansville,1993,2,40.0,1.0,0.6,0.1,38.7,0.0,60.0,38.7,,
Shane Fahnestock,Guard,68.0,173,,Evansville,1991,1,12.0,0.5,0.3,0.9,,,60.0,,,
Dave Fahrbach,,,,,Nebraska,1953,2,11.0,,,,,,,,,
Dave Fahs,Guard,,,,Michigan State,1961,3,65.0,10.9,2.9,,38.3,,74.0,,,
John Failing,Forward,77.0,196,,Louisiana Tech,1977,2,48.0,3.2,3.2,,41.1,,73.6,,,
Vj Fails,Forward,79.0,201,,Charleston Southern,2007,3,38.0,2.6,3.8,0.8,45.8,0.0,36.2,45.8,,0.5
Bill Faine,Center,79.0,201,,Bowling Green State,1984,4,99.0,10.7,5.7,1.1,50.7,,71.8,,,
Joe Faine,Forward,77.0,196,,Bowling Green State,1981,4,91.0,15.5,4.1,2.2,46.3,,83.6,,,
Kamau Faines,Guard,73.0,190,Walter Payton HS,Davidson,2017,3,18.0,0.7,0.0,0.0,50.0,50.0,50.0,56.3,14.3,0.0
Wendell Faines,Forward,80.0,250,Lincoln Northeast,Idaho,2013,2,50.0,1.8,1.9,0.2,43.8,,62.5,43.8,6.9,0.2
Anthony Fair,Forward,79.0,201,,Delaware State and Towson,2007,2,6.0,0.2,0.5,0.2,0.0,,50.0,0.0,,0.0
Brian Fair,Guard,76.0,193,,UConn,1995,4,125.0,9.0,2.0,1.0,42.2,41.0,69.0,52.2,,
C.J. Fair,Forward,80.0,215,Brewster Academy (NH),Syracuse,2014,4,143.0,11.6,5.7,0.8,46.2,34.3,72.3,48.4,19.2,16.6
Jordan Fair,Guard,72.0,183,,North Florida,2009,1,23.0,1.2,0.9,0.6,25.8,27.8,60.0,33.9,,
Mike Fair,Center,81.0,206,,San Jose State,1974,1,25.0,4.5,4.4,0.4,43.1,,40.0,,,
Ron Fair,Forward,,,,San Jose State,1976,3,82.0,10.6,6.5,0.9,51.0,,55.8,,,
Terry Fair,Center,79.0,201,,Georgia,1983,4,123.0,12.1,7.5,1.4,53.6,,68.2,,,
_ Fair,,,,,Gettysburg,1948,1,,,,,,,,,,
Bob Fairbank,Guard,73.0,185,,Dartmouth,1959,1,20.0,1.1,1.1,,35.0,,71.4,,,
Joe Fairbanks,Guard,61.0,180,,Yale,1965,1,6.0,1.0,0.7,,42.9,,,,,
Charles Fairchild,Forward,75.0,190,,Florida State,1965,1,18.0,2.3,2.1,,36.1,,72.7,,,
Chris Fairchild,Guard,72.0,183,,Vermont,1985,3,74.0,3.8,1.8,,44.5,,79.7,,,
John Fairchild,Guard,76.0,193,,Seton Hall,1996,2,17.0,0.5,0.2,0.2,23.1,12.5,50.0,26.9,,
John Fairchild,Center,80.0,203,,BYU,1965,2,53.0,20.9,12.8,,47.2,,77.7,,,
_ Fairchild,,,,,Vermont,1982,1,,,,,,,,,,
Tee Faircloth,Guard,72.0,183,,Auburn,1967,3,,,,,,,,,,
Zach Faircloth,Guard,74.0,175,,Presbyterian,2010,1,21.0,6.3,2.4,1.5,39.5,36.1,41.7,51.6,,
Jonathan Fairell,Forward,79.0,265,Carol City,Murray State,2015,2,69.0,6.1,6.9,0.8,59.6,,44.0,59.6,17.2,4.9
Allen Fairfax,Forward,79.0,201,,ETSU,1976,2,14.0,1.6,0.8,0.2,35.3,,76.9,,,
Henry Fairfax,Forward-Guard,76.0,193,,Drexel,2003,3,24.0,1.4,0.9,0.5,33.3,22.2,73.3,36.7,,0.1
Craig Fairfield,Forward,80.0,203,,Yale,1993,4,60.0,3.9,2.4,,47.8,,,,,
Ken Fairfield,,,,,St. Bonaventure,1959,3,73.0,14.7,4.7,,43.9,,75.7,,,
Ron Fairfield,Forward,78.0,198,,Memphis,1974,1,9.0,1.4,0.7,,62.5,,50.0,,,
Win Fairfield,Center,81.0,206,,Indiana,1963,3,32.0,1.6,3.3,,32.8,,,,,
Eddie Fairley,,,,,San Jose State,1991,1,3.0,0.7,0.3,0.3,33.3,,,,,
Jim Fairley,Forward,79.0,201,,East Carolina,1972,3,69.0,14.9,10.5,,47.7,,62.3,,,
Robert Fairley,Center,,,,Jackson State,1998,4,97.0,6.3,3.5,0.2,51.4,,56.4,51.4,,
