player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Charlie Unger,,,,,Bucknell,1965,2,30.0,1.8,2.4,,34.9,,50.0,,,
John Unger,,,,,Syracuse,1969,1,13.0,1.2,0.8,,21.1,,66.7,,,
Tom Unger,Guard,75.0,190,,Lehigh,1981,4,95.0,3.3,1.1,,43.0,,69.1,,,
Scott Ungerer,Guard,79.0,201,,Richmond,2002,4,120.0,6.4,4.0,4.0,42.3,35.2,71.0,52.6,,10.1
Dick Unis,Forward,61.0,178,,Oregon,1950,2,13.0,0.8,,,,,80.0,,,
Dan Unruh,Center,,,,Bradley,1949,2,45.0,2.9,,,28.0,,61.2,,,
Eric Unruh,Center,78.0,198,,University of California,1967,3,,,,,,,,,,
Josh Unruh,Guard,77.0,196,,Saint Mary's (CA),1997,4,107.0,7.4,2.0,3.2,41.7,31.9,67.6,48.6,,
Paul Unruh,Center,,,,Bradley,1950,3,101.0,14.2,,,38.8,,66.0,,,
Tate Unruh,Guard,76.0,180,Branson,Northern Colorado,2014,4,112.0,10.7,3.2,1.2,45.6,43.1,94.0,59.2,17.6,9.5
Thatch Unruh,Guard,77.0,190,Quakerdale Prep HS,Central Arkansas,2017,2,58.0,5.7,2.1,1.1,35.9,32.3,80.0,47.7,9.3,0.2
George Unseld,Center,79.0,201,,Kansas,1964,2,50.0,17.8,7.7,,45.8,,58.4,,,
Ike Unseld,Forward,75.0,190,,Morehead State,1973,3,38.0,,2.3,,,,,,,
Wes Unseld,Center,79.0,245,,Louisville,1968,3,82.0,20.6,18.9,,55.8,,65.1,,,
William Unseld,Forward,80.0,203,,South Carolina,1996,2,31.0,7.3,4.7,0.6,43.2,28.9,62.9,46.0,,
Brian Untch,Forward,77.0,196,,Texas A&M-Corpus Christi,1973,1,6.0,1.7,2.5,,40.0,,33.3,,,
Jeff Unverferth,Forward,79.0,201,,Wright State,1992,4,108.0,,,,,,,,,
