player_name,position,height(inches),weight(lbs),high_school,college,draft_year,years_in_college,games,points,rebounds,assists,fg_percent,3_fg_percent,free_throw_percent,effective_fg_percent,player_efficiency_rating,win_shares
Isaac Mack,Guard,73.0,170,Arsenal Tech,New Orleans,2014,2,51.0,6.8,2.1,2.0,37.2,28.6,67.5,42.1,7.8,0.6
Jerry Mack,Center,81.0,206,,Saint Francis (PA),1989,4,102.0,2.2,2.5,0.4,44.4,,61.1,,,
Jimmy Mack,Guard,,,,Chicago State,2001,1,18.0,3.8,0.6,1.4,50.0,30.8,73.1,54.3,,0.5
Joe Mack,,,,,Marquette,1959,1,,,,,,,,,,
John Mack,Guard,75.0,190,,Oregon,1963,3,72.0,2.6,3.7,,32.4,,50.6,,,
John Mack,,,,,Washington,1961,1,9.0,0.4,0.4,,33.3,,50.0,,,
Johnny Mack,Guard,74.0,188,,Montana State,1993,4,90.0,12.0,2.6,2.3,41.9,38.0,74.5,48.8,,
Joshua Mack,Guard,72.0,183,,Coastal Carolina and Mississippi Valley State,2010,3,52.0,8.0,2.0,2.4,37.4,35.8,82.6,48.8,,2.1
Kajon Mack,Guard,75.0,185,Juniper Serra HS,Tulane and Tennessee Tech,2017,4,97.0,5.8,2.8,1.4,43.0,31.7,73.2,48.8,15.0,4.6
Ken Mack,,,,,Ball State,1994,1,3.0,0.0,0.0,0.3,0.0,0.0,,0.0,,
Ken Mack,Center,73.0,211,,St. Peter's,1991,3,52.0,1.7,1.6,0.4,47.4,,70.0,47.4,,
Ken Mack,Center,73.0,208,,Utica,1987,1,23.0,0.7,1.3,0.1,16.7,,50.0,16.7,,
Kendell Mack,Forward,,,,Auburn,1998,1,8.0,1.4,0.5,0.0,80.0,,50.0,80.0,,0.1
Kendell Mack,Guard,68.0,173,,Oral Roberts,1987,2,30.0,2.1,0.4,0.7,38.2,,70.4,,,
Lamont Mack,Forward,79.0,201,,Charlotte,2009,2,65.0,14.0,5.4,1.1,38.5,34.0,71.6,46.4,,4.9
Larry Mack,,,,,Navy,1965,3,51.0,5.2,4.7,,44.4,,58.3,,,
Lewis Mack,Guard,75.0,190,,Middle Tennessee,1977,2,56.0,12.5,3.6,4.9,45.5,,78.9,,,
Marc Mack,Forward,78.0,195,Fishburne Military,Bethune-Cookman,2013,2,63.0,2.5,2.3,0.2,34.2,14.3,51.9,34.5,3.7,-0.1
Mike Mack,Forward,77.0,196,,Eastern Michigan,1974,1,23.0,7.6,4.6,,39.2,,36.0,,,
Monty Mack,Guard,75.0,190,,UMass,2001,4,123.0,17.7,3.4,2.1,40.6,36.4,79.2,49.3,,13.7
Myles Mack,Guard,61.0,175,St. Anthony,Rutgers,2015,4,128.0,13.0,2.8,3.3,41.3,36.9,85.8,50.4,19.0,12.3
Oliver Mack,Guard,75.0,190,,East Carolina,1979,2,52.0,23.0,4.3,,51.5,,73.7,,,
Ollie Mack,Guard,75.0,185,,East Carolina,1979,2,52.0,23.0,4.3,,51.4,,73.7,,,
Phillip Mack,,,,,Lamar,1985,1,,,,,,,,,,
Ray Mack,,,,,Bradley,1962,3,22.0,1.0,0.9,,25.0,,72.2,,,
Renardo Mack,Guard,72.0,183,,Central Connecticut,1987,1,29.0,4.7,2.0,2.3,39.5,0.0,64.2,39.5,,
Rodney Mack,Forward,78.0,198,,South Carolina State,1989,4,118.0,12.3,9.9,0.6,60.2,,70.3,,,
Sam Mack,Guard,79.0,220,,Iowa State and Houston,1992,2,60.0,14.7,6.0,1.6,47.4,37.6,75.1,51.5,,
Shelvin Mack,Guard,75.0,215,,Butler,2010,2,108.0,14.1,4.2,3.3,41.9,35.7,75.5,50.7,,13.8
Sherman Mack,Guard,61.0,180,,Southeastern Louisiana,1991,1,4.0,0.2,,,,,50.0,,,
Tavares Mack,Forward,81.0,206,,Washington State,1997,4,104.0,6.2,4.1,0.4,57.3,,57.1,57.3,,
Terrence Mack,Forward,78.0,198,,Rhode Island,2006,4,113.0,5.0,3.3,0.4,44.7,30.4,52.8,45.4,,3.7
Tevin Mack,Guard,78.0,210,Dreher HS,Texas,2017,2,48.0,8.1,2.9,0.5,37.4,34.0,61.4,47.1,14.5,2.1
Tom Mack,Forward,61.0,180,,Wisconsin,1956,2,33.0,1.1,0.3,,27.8,,62.5,,,
Toney Mack,Forward,77.0,196,,Georgia,1988,3,73.0,11.9,3.7,1.0,52.3,,65.4,,,
Tony Mack,,,,,Lafayette,1957,2,,,,,,,,,,
Troy Mack,Forward,80.0,203,,Wichita State,2002,4,114.0,6.7,5.1,0.8,51.0,0.0,61.0,51.0,,5.5
Ty Mack,Forward,,,,Northeastern,1998,2,51.0,17.0,6.3,0.7,45.5,32.1,78.4,48.4,,5.8
_ Mack,,,,,Kent State,1970,1,,,,,,,,,,
George Mackaronis,,,,,Rutgers,1948,1,,,,,,,,,,
Ali Mackay,Forward,73.0,215,North Berwick,Davidson,2015,4,63.0,0.6,0.6,0.1,62.5,28.6,54.5,66.7,12.5,0.6
Hugh Mackay,Forward,76.0,193,,Colorado State,1971,1,7.0,4.7,2.0,,41.7,,76.5,,,
Jack Mackay,Guard,73.0,185,,Colgate,1973,3,72.0,9.6,3.4,,46.0,,81.5,,,
John Mackay,Guard,74.0,188,,Dartmouth,1990,3,78.0,8.9,2.2,1.9,42.3,,77.9,,,
John Mackay,Forward,74.0,188,,Dartmouth,1985,1,20.0,10.7,2.1,2.1,48.9,,73.7,,,
Luke MacKay,Guard,77.0,196,,East Carolina,2004,2,41.0,2.5,0.8,0.6,34.9,31.6,55.6,46.2,,0.4
Lyndon MacKay,Forward,78.0,198,,Utah,1968,2,57.0,10.2,6.8,,47.5,,73.9,,,
Lyndon Mackay,,,,,Utah,1967,1,26.0,9.5,6.5,,40.2,,78.0,,,
Rick Mackay,Guard-Forward,75.0,190,,Gonzaga,1974,3,44.0,3.7,1.3,,43.1,,88.1,,,
Earsell Mackbee,Guard,73.0,185,,Utah State,1965,1,17.0,3.1,1.3,,45.7,,64.7,,,
Bobby Macke,,,,,Cornell,1981,1,6.0,0.7,0.3,0.2,66.7,,,,,
Mike Mackell,Center,81.0,206,,San Diego State,2003,2,63.0,12.4,4.5,0.6,53.6,,68.9,53.6,,5.7
Andrew Mackenzie,Guard,75.0,190,,Quinnipiac,1999,1,27.0,10.7,1.7,0.7,38.3,39.4,78.2,49.6,,1.0
David MacKenzie,,,,,UMass,1958,1,1.0,,,,,,,,,
Keith MacKenzie,Guard,74.0,188,,Oakland,2007,2,45.0,1.2,0.7,1.2,28.1,23.1,63.6,37.5,,0.0
Kimbal MacKenzie,Guard,73.0,185,The John Carroll School,Bucknell,2017,2,66.0,8.4,1.7,2.0,44.7,40.3,82.7,55.5,13.9,4.8
Norm MacKenzie,Center,78.0,198,,San Francisco,1950,1,4.0,0.8,,,,,60.0,,,
